      Date,          T,          P,         Ep,          I,         Ea,       Dsum,         Db,        Dmp,         Ve,         Vr,         Vb
1977-01-01,   5.300000,   0.000000,   0.063535,   0.000000,   0.063535,   0.000000,   0.000000,   0.000000,   9.952932,  23.936465,  76.000000
1977-01-02,   2.100000,   0.000000,   0.060260,   0.000000,   0.060260,   0.000000,   0.000000,   0.000000,   9.908290,  23.876205,  76.000000
1977-01-03,   2.500000,   0.000000,   0.058950,   0.000000,   0.058950,   0.000000,   0.000000,   0.000000,   9.864619,  23.817255,  76.000000
1977-01-04,   3.500000,   0.846000,   0.042575,   0.000000,   0.042575,   0.236816,   0.236816,   0.000000,  10.000000,  24.022903,  76.121996
1977-01-05,   3.800000,   7.473000,   0.060915,   0.000000,   0.060915,   4.696133,   4.696133,   0.000000,  10.000000,  24.446384,  78.419220
1977-01-06,   1.700000,   1.269000,   0.073360,   0.000000,   0.073360,   2.617398,   2.617398,   0.000000,  10.000000,  24.098715,  77.348357
1977-01-07,   3.800000,   1.692000,   0.151305,   0.000000,   0.151305,   1.919539,   1.919539,   0.000000,  10.000000,  24.099577,  76.988853
1977-01-08,   6.500000,   0.846000,   0.060260,   0.000000,   0.060260,   1.187254,   1.187254,   0.000000,  10.000000,  24.051703,  76.611616
1977-01-09,   7.500000,   2.397000,   0.054365,   0.000000,   0.054365,   1.888166,   1.888166,   0.000000,  10.000000,  24.143569,  76.972691
1977-01-10,   5.700000,   1.269000,   0.133620,   0.000000,   0.133620,   1.448180,   1.448180,   0.000000,  10.000000,  24.077969,  76.746032
1977-01-11,   4.000000,   0.000000,   0.174230,   0.000000,   0.174230,   0.492381,   0.492381,   0.000000,   9.870927,  23.948897,  76.253651
1977-01-12,   4.500000,   2.679000,   0.051745,   0.000000,   0.051745,   1.724473,   1.724473,   0.000000,  10.000000,  24.150586,  76.888365
1977-01-13,   5.300000,   0.282000,   0.317675,   0.000000,   0.317675,   0.700373,   0.700373,   0.000000,  10.000000,  24.011030,  76.360798
1977-01-14,   5.600000,   4.653000,   0.064845,   0.000000,   0.064845,   3.050807,   3.050807,   0.000000,  10.000000,  24.272019,  77.571628
1977-01-15,   6.900000,   0.282000,   0.087770,   0.000000,   0.087770,   1.330222,   1.330222,   0.000000,  10.000000,  24.028331,  76.685266
1977-01-16,   7.600000,   0.987000,   0.083840,   0.000000,   0.083840,   1.029541,   1.029541,   0.000000,  10.000000,  24.055828,  76.530369
1977-01-17,   6.100000,   0.141000,   0.346495,   0.000000,   0.346495,   0.350044,   0.350044,   0.000000,   9.862580,  23.918409,  76.180326
1977-01-18,   5.800000,   0.000000,   0.079910,   0.000000,   0.079910,   0.119015,   0.119015,   0.000000,   9.803382,  23.859210,  76.061311
1977-01-19,   6.300000,   0.000000,   0.078600,   0.000000,   0.078600,   0.040465,   0.040465,   0.000000,   9.745153,  23.800982,  76.020846
1977-01-20,   4.200000,   0.000000,   0.087115,   0.000000,   0.087115,   0.013758,   0.013758,   0.000000,   9.680617,  23.736445,  76.007088
1977-01-21,   2.800000,   0.705000,   0.058295,   0.000000,   0.058295,   0.156547,   0.156547,   0.000000,  10.000000,  24.014688,  76.080645
1977-01-22,   4.400000,   0.141000,   0.320950,   0.000000,   0.320950,   0.053226,   0.053226,   0.000000,   9.888125,  23.902813,  76.027419
1977-01-23,   3.800000,   0.705000,   0.118555,   0.000000,   0.118555,   0.289088,   0.289088,   0.000000,  10.000000,  24.026208,  76.148924
1977-01-24,   5.800000,   0.141000,   0.069430,   0.000000,   0.069430,   0.151052,   0.151052,   0.000000,  10.000000,  24.005103,  76.077815
1977-01-25,   0.800000,   0.000000,   0.082530,   0.000000,   0.082530,   0.051358,   0.051358,   0.000000,   9.938860,  23.943963,  76.026457
1977-01-26,   0.800000,   0.000000,   0.121830,   0.000000,   0.121830,   0.017462,   0.017462,   0.000000,   9.848606,  23.853709,  76.008995
1977-01-27,   3.600000,   0.000000,   0.351735,   0.000000,   0.351735,   0.005937,   0.005937,   0.000000,   9.588035,  23.593137,  76.003058
1977-01-28,   4.700000,   1.410000,   0.180780,   0.000000,   0.180780,   0.440696,   0.440696,   0.000000,  10.000000,  24.042425,  76.227025
1977-01-29,   4.200000,   0.000000,   0.396930,   0.000000,   0.396930,   0.149837,   0.149837,   0.000000,   9.705947,  23.748372,  76.077189
1977-01-30,   6.000000,   0.000000,   0.115280,   0.000000,   0.115280,   0.050944,   0.050944,   0.000000,   9.620545,  23.662971,  76.026244
1977-01-31,   8.200000,   0.000000,   0.428370,   0.000000,   0.428370,   0.017321,   0.017321,   0.000000,   9.303201,  23.304990,  76.008923
1977-02-01,   5.200000,   0.000000,   0.105455,   0.000000,   0.105455,   0.005889,   0.005889,   0.000000,   9.225078,  23.199535,  76.003034
1977-02-02,   4.600000,   0.000000,   0.131000,   0.000000,   0.131000,   0.002002,   0.002002,   0.000000,   9.128031,  23.068535,  76.001031
1977-02-03,   5.300000,   0.000000,   0.096285,   0.000000,   0.096285,   0.000681,   0.000681,   0.000000,   9.056701,  22.972250,  76.000351
1977-02-04,   5.300000,  12.354000,   0.094320,   0.000000,   0.094320,   6.828587,   6.828587,   0.000000,  10.000000,  24.660383,  79.517757
1977-02-05,   6.000000,   1.136000,   0.372695,   0.000000,   0.372695,   3.249737,   3.249737,   0.000000,  10.000000,  24.089750,  77.674107
1977-02-06,   6.900000,   0.000000,   0.168335,   0.000000,   0.168335,   1.104911,   1.104911,   0.000000,   9.875294,  23.965045,  76.569196
1977-02-07,   8.500000,   0.000000,   0.165060,   0.000000,   0.165060,   0.375670,   0.375670,   0.000000,   9.753015,  23.842765,  76.193527
1977-02-08,   7.500000,   0.000000,   0.128380,   0.000000,   0.128380,   0.127728,   0.127728,   0.000000,   9.657909,  23.747659,  76.065799
1977-02-09,   3.700000,   0.000000,   0.125105,   0.000000,   0.125105,   0.043427,   0.043427,   0.000000,   9.565229,  23.654979,  76.022372
1977-02-10,   2.900000,   0.000000,   0.100870,   0.000000,   0.100870,   0.014765,   0.014765,   0.000000,   9.490502,  23.555404,  76.007606
1977-02-11,   4.000000,   4.118000,   0.285580,   0.000000,   0.285580,   1.997647,   1.997647,   0.000000,  10.000000,  24.192710,  77.029091
1977-02-12,   5.300000,   3.834000,   0.339945,   0.000000,   0.339945,   2.975211,   2.975211,   0.000000,  10.000000,  24.222051,  77.532684
1977-02-13,   3.700000,   4.118000,   0.408720,   0.000000,   0.408720,   3.461628,   3.461628,   0.000000,  10.000000,  24.236949,  77.783263
1977-02-14,   4.800000,   0.568000,   0.586880,   0.000000,   0.586880,   1.340891,   1.340891,   0.000000,  10.000000,  24.015855,  76.690762
1977-02-15,   5.000000,   7.242000,   0.131000,   0.000000,   0.131000,   4.804100,   4.804100,   0.000000,  10.000000,  24.420522,  78.474839
1977-02-16,   1.900000,   2.982000,   0.503695,   0.000000,   0.503695,   3.491754,   3.491754,   0.000000,  10.000000,  24.179725,  77.798782
1977-02-17,   1.200000,   0.000000,   0.560025,   0.000000,   0.560025,   1.187196,   1.187196,   0.000000,   9.585123,  23.739152,  76.611586
1977-02-18,   4.300000,  10.366000,   0.130345,   0.000000,   0.130345,   6.457876,   6.457876,   0.000000,  10.000000,  24.585515,  79.326785
1977-02-19,   6.500000,   1.562000,   0.366800,   0.000000,   0.366800,   3.338455,   3.338455,   0.000000,  10.000000,  24.110520,  77.719810
1977-02-20,   5.500000,   1.562000,   0.394310,   0.000000,   0.394310,   1.932500,   1.932500,   0.000000,  10.000000,  24.077120,  76.995530
1977-02-21,   4.400000,   0.000000,   0.597360,   0.000000,   0.597360,   0.657050,   0.657050,   0.000000,   9.557465,  23.627562,  76.338480
1977-02-22,   3.500000,   3.834000,   0.459155,   0.000000,   0.459155,   2.004821,   2.004821,   0.000000,  10.000000,  24.172285,  77.032787
1977-02-23,   4.300000,   2.272000,   0.373350,   0.000000,   0.373350,   1.952650,   1.952650,   0.000000,  10.000000,  24.122922,  77.005911
1977-02-24,   4.400000,   1.136000,   0.649105,   0.000000,   0.649105,   1.086572,   1.086572,   0.000000,  10.000000,  24.040877,  76.559749
1977-02-25,   4.600000,   5.254000,   0.290165,   0.000000,   0.290165,   3.416642,   3.416642,   0.000000,  10.000000,  24.294701,  77.760088
