Date,       P,      Ep,       I,      Ea,    Dsum,      Db,     Dmp,      Ve,      Vr,      Vb
1977,   669.7,   553.0,     0.0,   298.6,   509.0,     2.5,   506.6,   105.5,  7323.9, 16237.3
1978,  1055.4,   514.3,     0.0,   233.5,   812.2,     0.0,   812.2,   224.1,  4527.7,  8156.0
1979,   800.2,   514.2,     0.0,   197.2,   636.2,     0.0,   636.2,   151.2,  2345.8,  4563.3
1980,   827.1,   558.4,     0.0,   124.1,   705.3,     0.0,   705.3,   142.4,   756.0,   883.2
1981,  1004.0,   500.2,     0.0,   188.3,   813.3,     0.0,   813.3,   234.1,  2633.4,  2142.0
1982,  1198.8,   530.4,     0.0,   162.6,   956.9,     0.0,   956.9,   291.5,  2789.9,  7105.5
1983,   921.9,   544.2,     0.0,   238.7,   734.9,     0.0,   734.9,   225.0,  4750.1, 10798.7
1984,   664.4,   492.0,     0.0,   147.8,   546.1,     0.0,   546.1,   159.8,   661.2,  2654.1
1985,   775.3,   542.6,     0.0,   160.8,   593.7,     0.0,   593.7,   168.1,  2198.1,  1431.2
1986,  1149.8,   479.3,     0.0,   229.8,   921.8,     0.0,   921.8,   260.2,  4247.0,  4116.8
1987,  1178.4,   536.7,     0.0,   207.1,   976.9,     0.0,   976.9,   239.7,  3291.7,  2444.8
1988,   933.2,   504.8,     0.0,   181.1,   771.6,     0.0,   771.6,   155.2,  2930.3,  2030.1
1989,   672.5,   553.0,     0.0,   145.5,   500.0,     0.0,   500.0,   108.6,  1029.7,   939.1
1990,   991.2,   521.0,     0.0,   226.9,   755.3,     0.0,   755.3,   193.1,  4033.9,  6914.1
1991,   760.0,   514.2,     0.0,   197.4,   595.2,     0.0,   595.2,   124.2,  1486.3,  4498.8
1992,   793.8,   558.4,     0.0,   132.9,   664.0,     0.0,   664.0,   123.8,   663.6,   815.3
1993,  1008.4,   500.2,     0.0,   182.0,   808.3,     0.0,   808.3,   237.6,  2388.7,  1368.5
1994,  1121.5,   530.4,     0.0,   182.4,   896.9,     0.0,   896.9,   262.7,  3225.9,  6842.2
1995,   886.7,   544.2,     0.0,   239.3,   669.9,     0.0,   669.9,   161.8,  4448.9,  9028.9
1996,   680.4,   492.0,     0.0,   152.2,   564.0,     0.0,   564.0,   115.5,   549.0,  2194.7
1997,   724.0,   542.6,     0.0,   165.8,   553.5,     0.0,   553.5,   144.9,  1241.5,  1255.2
1998,  1089.6,   482.1,     0.0,   217.9,   869.0,     0.0,   869.0,   220.1,  2273.6,  2464.2
1999,  1092.3,   530.9,     0.0,   199.9,   905.7,     0.0,   905.7,   195.3,  1312.0,  1905.3
2000,   874.7,   500.0,     0.0,   170.0,   709.9,     0.0,   709.9,   130.8,  1708.3,   181.1
2001,   836.8,   500.3,     0.0,   178.6,   637.2,     0.0,   637.2,    76.2,    65.1,   329.6
2002,  1098.1,   512.9,     0.0,   210.6,   855.5,     0.0,   855.5,   200.5,  3802.1,  6037.0
2003,   690.9,   531.8,     0.0,   218.1,   538.1,     0.0,   538.1,    93.5,  2958.9,  5082.2
2004,  1034.2,   512.2,     0.0,   203.7,   809.8,     0.0,   809.8,   198.1,  1615.5,  2679.0
2005,   817.2,   530.5,     0.0,   193.6,   608.1,     0.0,   608.1,   110.8,  1189.2,  3239.9
2006,   863.6,   550.1,     0.0,   182.6,   712.1,     0.0,   712.1,   106.8,  1043.5,  3109.9
2007,  1150.6,   541.0,     0.0,   242.9,   891.5,     0.0,   891.5,   204.2,  3314.5,  4401.7
2008,   953.8,   585.3,     0.0,   198.6,   737.6,     0.0,   737.6,   199.7,  2421.8,  6993.4
2009,   844.6,   581.9,     0.0,   203.3,   648.4,     0.0,   648.4,   113.7,  2558.5,  6492.4
2010,   826.9,   534.0,     0.0,   201.7,   624.6,     0.0,   624.6,   113.9,  1507.9,  3057.2
2011,   956.3,   544.7,     0.0,   203.3,   762.2,     0.0,   762.2,   205.3,  1815.9,  3793.3
2012,   931.5,   540.0,     0.0,   225.3,   737.7,     0.0,   737.7,   166.8,  2233.7,  3171.5
2013,   835.0,   544.7,     0.0,   164.2,   673.9,     0.0,   673.9,   121.5,   174.7,   322.3
2014,   984.3,   569.8,     0.0,   182.9,   771.6,     0.0,   771.6,   211.1,  1120.9,  2739.2
2015,  1053.5,   548.9,     0.0,   220.4,   816.5,     0.0,   816.5,   193.8,  2527.8,  4577.7
2016,   798.0,   542.4,     0.0,   230.0,   614.8,     0.0,   614.8,    66.8,  2947.1,  3503.5
2017,   995.2,   531.0,     0.0,   178.1,   795.6,     0.0,   795.6,   169.7,   834.7,  2269.7
2018,   671.5,   599.6,     0.0,   137.4,   549.7,     0.0,   549.7,   112.9,   813.2,  3279.6
2019,   367.7,   329.3,     0.0,    92.8,   282.9,     0.0,   282.9,    58.0,   228.5,   680.6
