Date,       P,      Ep,       I,      Ea,    Dsum,      Db,     Dmp
1977,   669.7,   553.0,     0.0,   281.9,   557.2,     0.0,   557.2
1978,  1055.4,   514.3,     0.0,   176.5,   874.6,     0.0,   874.6
1979,   800.2,   514.2,     0.0,   177.7,   626.3,     0.0,   626.3
1980,   827.1,   558.4,     0.0,   143.4,   684.6,     0.0,   684.6
1981,  1004.0,   500.2,     0.0,   178.5,   820.9,     0.0,   820.9
1982,  1198.8,   530.4,     0.0,   168.3,  1012.8,     0.0,  1012.8
1983,   921.9,   544.2,     0.0,   170.4,   754.0,     0.0,   754.0
1984,   664.4,   492.0,     0.0,   150.5,   531.7,     0.0,   531.7
1985,   775.3,   542.6,     0.0,   177.5,   597.4,     0.0,   597.4
1986,  1149.8,   479.3,     0.0,   207.2,   944.5,     0.0,   944.5
1987,  1178.4,   536.7,     0.0,   197.4,   978.3,     0.0,   978.3
1988,   933.2,   504.8,     0.0,   174.4,   761.2,     0.0,   761.2
1989,   672.5,   553.0,     0.0,   162.7,   510.0,     0.0,   510.0
1990,   991.2,   521.0,     0.0,   185.2,   803.6,     0.0,   803.6
1991,   760.0,   514.2,     0.0,   184.7,   577.9,     0.0,   577.9
1992,   793.8,   558.4,     0.0,   149.3,   644.5,     0.0,   644.5
1993,  1008.4,   500.2,     0.0,   191.2,   812.0,     0.0,   812.0
1994,  1121.5,   530.4,     0.0,   182.5,   929.0,     0.0,   929.0
1995,   886.7,   544.2,     0.0,   178.7,   694.0,     0.0,   694.0
1996,   680.4,   492.0,     0.0,   159.7,   546.7,     0.0,   546.7
1997,   724.0,   542.6,     0.0,   187.8,   538.6,     0.0,   538.6
1998,  1089.6,   482.1,     0.0,   220.3,   869.9,     0.0,   869.9
1999,  1092.3,   530.9,     0.0,   207.6,   884.0,     0.0,   884.0
2000,   874.7,   500.0,     0.0,   183.6,   685.2,     0.0,   685.2
2001,   836.8,   500.3,     0.0,   207.8,   603.5,     0.0,   603.5
2002,  1098.1,   512.9,     0.0,   216.1,   912.8,     0.0,   912.8
2003,   690.9,   531.8,     0.0,   188.6,   502.0,     0.0,   502.0
2004,  1034.2,   512.2,     0.0,   213.7,   814.7,     0.0,   814.7
2005,   817.2,   530.5,     0.0,   199.3,   603.9,     0.0,   603.9
2006,   863.6,   550.1,     0.0,   187.6,   690.2,     0.0,   690.2
2007,  1150.6,   541.0,     0.0,   225.5,   931.6,     0.0,   931.6
2008,   953.8,   585.3,     0.0,   195.2,   759.8,     0.0,   759.8
2009,   844.6,   581.9,     0.0,   193.6,   644.6,     0.0,   644.6
2010,   826.9,   534.0,     0.0,   199.3,   593.4,     0.0,   593.4
2011,   956.3,   544.7,     0.0,   212.2,   783.9,     0.0,   783.9
2012,   931.5,   540.0,     0.0,   217.0,   714.0,     0.0,   714.0
2013,   835.0,   544.7,     0.0,   200.3,   635.7,     0.0,   635.7
2014,   984.3,   569.8,     0.0,   201.6,   782.6,     0.0,   782.6
2015,  1053.5,   548.9,     0.0,   200.8,   849.8,     0.0,   849.8
2016,   798.0,   542.4,     0.0,   212.0,   589.1,     0.0,   589.1
2017,   995.2,   531.0,     0.0,   209.1,   781.4,     0.0,   781.4
2018,   671.5,   599.6,     0.0,   145.8,   529.9,     0.0,   529.9
2019,   367.7,   329.3,     0.0,    99.0,   269.4,     0.0,   269.4
