      Date,          T,          P,         Ep,          I,         Ea,       Dsum,         Db,        Dmp
1977-01-01,   5.300000,   0.000000,   0.087300,   0.000000,   0.087300,  -0.087300,  -0.087300,   0.000000
1977-01-02,   2.100000,   0.000000,   0.082800,   0.000000,   0.082800,  -0.082800,  -0.082800,   0.000000
1977-01-03,   2.500000,   0.000000,   0.081000,   0.000000,   0.081000,  -0.081000,  -0.081000,   0.000000
1977-01-04,   3.500000,   0.846000,   0.058500,   0.000000,   0.084895,   0.261105,   0.261105,   0.000000
1977-01-05,   3.800000,   7.473000,   0.083700,   0.000000,   0.121464,   7.325141,   7.325141,   0.000000
1977-01-06,   1.700000,   1.269000,   0.100800,   0.000000,   0.146280,   1.084956,   1.084956,   0.000000
1977-01-07,   3.800000,   1.692000,   0.207900,   0.000000,   0.301702,   1.344818,   1.344818,   0.000000
1977-01-08,   6.500000,   0.846000,   0.082800,   0.000000,   0.120158,   0.632040,   0.632040,   0.000000
1977-01-09,   7.500000,   2.397000,   0.074700,   0.000000,   0.108404,   2.251238,   2.251238,   0.000000
1977-01-10,   5.700000,   1.269000,   0.183600,   0.000000,   0.266438,   0.968858,   0.968858,   0.000000
1977-01-11,   4.000000,   0.000000,   0.239400,   0.000000,   0.347414,  -0.347414,  -0.347414,   0.000000
1977-01-12,   4.500000,   2.679000,   0.071100,   0.000000,   0.103179,   2.384968,   2.384968,   0.000000
1977-01-13,   5.300000,   0.282000,   0.436500,   0.000000,   0.633444,  -0.383523,  -0.383523,   0.000000
1977-01-14,   5.600000,   4.653000,   0.089100,   0.000000,   0.129301,   4.326755,   4.326755,   0.000000
1977-01-15,   6.900000,   0.282000,   0.120600,   0.000000,   0.175013,   0.066786,   0.066786,   0.000000
1977-01-16,   7.600000,   0.987000,   0.115200,   0.000000,   0.167177,   0.765410,   0.765410,   0.000000
1977-01-17,   6.100000,   0.141000,   0.476100,   0.000000,   0.690911,  -0.601888,  -0.601888,   0.000000
1977-01-18,   5.800000,   0.000000,   0.109800,   0.000000,   0.159340,  -0.159340,  -0.159340,   0.000000
1977-01-19,   6.300000,   0.000000,   0.108000,   0.000000,   0.156728,  -0.156728,  -0.156728,   0.000000
1977-01-20,   4.200000,   0.000000,   0.119700,   0.000000,   0.173707,  -0.173707,  -0.173707,   0.000000
1977-01-21,   2.800000,   0.705000,   0.080100,   0.000000,   0.116240,   0.221673,   0.221673,   0.000000
