Date,       P,      Ep,       I,      Ea,    Dsum,      Db,     Dmp,      Ve,      Vr,      Vb
1977,   669.7,   695.7,     0.0,   683.0,  -124.2,  -124.2,     0.0,  2889.5,109500.0,     0.0
1978,  1055.4,   666.8,     0.0,   660.0,   276.1,   276.1,     0.0,  2935.8,109500.0,     0.0
1979,   800.2,   650.3,     0.0,   635.6,    48.7,    48.7,     0.0,  2730.4,109500.0,     0.0
1980,   827.1,   715.2,     0.0,   681.0,    39.2,    39.2,     0.0,  2762.9,109800.0,     0.0
1981,  1004.0,   622.8,     0.0,   600.4,   273.2,   273.2,     0.0,  2877.4,109500.0,     0.0
1982,  1198.8,   675.8,     0.0,   656.4,   425.1,   425.1,     0.0,  2895.7,109500.0,     0.0
1983,   921.9,   694.0,     0.0,   659.8,   124.8,   124.8,     0.0,  2795.2,109500.0,     0.0
1984,   664.4,   619.7,     0.0,   593.7,   -24.5,   -24.5,     0.0,  2840.8,109800.0,     0.0
1985,   775.3,   697.1,     0.0,   680.4,   -21.6,   -21.6,     0.0,  2844.1,109500.0,     0.0
1986,  1149.8,   597.9,     0.0,   593.4,   409.9,   409.9,     0.0,  3097.2,109500.0,     0.0
1987,  1178.4,   688.8,     0.0,   677.4,   360.0,   360.0,     0.0,  2987.9,109500.0,     0.0
1988,   933.2,   636.5,     0.0,   625.2,   186.0,   186.0,     0.0,  3047.5,109800.0,     0.0
1989,   672.5,   695.6,     0.0,   682.9,  -121.1,  -121.1,     0.0,  2889.7,109500.0,     0.0
1990,   991.2,   672.0,     0.0,   664.1,   204.0,   204.0,     0.0,  2910.3,109500.0,     0.0
1991,   760.0,   650.3,     0.0,   636.5,     0.8,     0.8,     0.0,  2739.9,109500.0,     0.0
1992,   793.8,   715.2,     0.0,   682.8,    -1.1,    -1.1,     0.0,  2787.3,109800.0,     0.0
1993,  1008.4,   622.8,     0.0,   602.8,   263.1,   263.1,     0.0,  2892.4,109500.0,     0.0
1994,  1121.5,   675.6,     0.0,   657.8,   342.2,   342.2,     0.0,  2906.3,109500.0,     0.0
1995,   886.7,   694.0,     0.0,   660.7,    72.5,    72.5,     0.0,  2811.4,109500.0,     0.0
1996,   680.4,   619.7,     0.0,   593.6,   -16.2,   -16.2,     0.0,  2860.4,109800.0,     0.0
1997,   724.0,   697.1,     0.0,   683.2,   -78.2,   -78.2,     0.0,  2849.3,109500.0,     0.0
1998,  1089.6,   601.7,     0.0,   597.6,   334.4,   334.4,     0.0,  3126.3,109500.0,     0.0
1999,  1092.3,   681.1,     0.0,   672.0,   272.5,   272.5,     0.0,  2995.2,109500.0,     0.0
2000,   874.7,   629.4,     0.0,   619.2,   122.0,   122.0,     0.0,  3060.2,109800.0,     0.0
2001,   836.8,   622.7,     0.0,   613.0,    40.6,    40.6,     0.0,  3141.9,109500.0,     0.0
2002,  1098.1,   677.9,     0.0,   664.9,   333.8,   333.8,     0.0,  2852.2,109500.0,     0.0
2003,   690.9,   705.5,     0.0,   679.1,  -118.4,  -118.4,     0.0,  2678.4,109500.0,     0.0
2004,  1034.2,   660.3,     0.0,   651.4,   231.0,   231.0,     0.0,  3043.1,109800.0,     0.0
2005,   817.2,   678.1,     0.0,   665.5,    -9.3,    -9.3,     0.0,  2823.6,109500.0,     0.0
2006,   863.6,   708.8,     0.0,   677.7,    69.6,    69.6,     0.0,  2805.6,109500.0,     0.0
2007,  1150.6,   712.2,     0.0,   685.6,   319.6,   319.6,     0.0,  2963.4,109500.0,     0.0
2008,   953.8,   746.6,     0.0,   723.8,    84.3,    84.3,     0.0,  2770.7,109800.0,     0.0
2009,   844.6,   748.1,     0.0,   726.3,   -19.0,   -19.0,     0.0,  2782.0,109500.0,     0.0
2010,   826.9,   675.8,     0.0,   664.3,   -16.6,   -16.6,     0.0,  3104.9,109500.0,     0.0
2011,   956.3,   698.8,     0.0,   680.9,   164.9,   164.9,     0.0,  2976.9,109500.0,     0.0
2012,   931.5,   690.9,     0.0,   679.1,    96.1,    96.1,     0.0,  2978.0,109800.0,     0.0
2013,   835.0,   691.4,     0.0,   668.4,    19.3,    19.3,     0.0,  2679.2,109500.0,     0.0
2014,   984.3,   744.1,     0.0,   737.9,   108.2,   108.2,     0.0,  3030.9,109500.0,     0.0
2015,  1053.5,   692.4,     0.0,   685.3,   235.4,   235.4,     0.0,  2920.8,109500.0,     0.0
2016,   798.0,   710.0,     0.0,   698.4,   -40.2,   -40.2,     0.0,  2831.8,109800.0,     0.0
2017,   995.2,   675.2,     0.0,   669.0,   180.1,   180.1,     0.0,  2998.4,109500.0,     0.0
2018,   671.5,   779.8,     0.0,   741.0,  -180.4,  -180.4,     0.0,  2662.4,109500.0,     0.0
2019,   367.7,   366.8,     0.0,   349.0,   -39.4,   -39.4,     0.0,  1246.2, 54300.0,     0.0
