      Date,          T,          P,         Ep,          I,         Ea,       Dsum,         Db,        Dmp,         Ve,         Vr,         Vb
1977-01-01,   5.300000,   0.000000,   0.063535,   0.000000,   0.063535,   9.851244,   0.000000,   9.851244,   0.101689,  20.085221, 140.000000
1977-01-02,   2.100000,   0.000000,   0.060260,   0.000000,   0.060260,   0.000000,   0.000000,   0.000000,   0.057047,  20.024961, 140.000000
1977-01-03,   2.500000,   0.000000,   0.058950,   0.000000,   0.058950,   0.000000,   0.000000,   0.000000,   0.013376,  19.966011, 140.000000
1977-01-04,   3.500000,   0.846000,   0.042575,   0.000000,   0.042575,   0.476147,   0.000000,   0.476147,   0.101689,  20.054324, 140.000000
1977-01-05,   3.800000,   7.473000,   0.060915,   0.000000,   0.060915,   7.416838,   0.000000,   7.416838,   0.101689,  20.054324, 140.000000
1977-01-06,   1.700000,   1.269000,   0.073360,   0.000000,   0.073360,   1.198866,   0.000000,   1.198866,   0.101689,  20.054324, 140.000000
1977-01-07,   3.800000,   1.692000,   0.151305,   0.000000,   0.151305,   1.560897,   0.000000,   1.560897,   0.101689,  20.054324, 140.000000
1977-01-08,   6.500000,   0.846000,   0.060260,   0.000000,   0.060260,   0.762143,   0.000000,   0.762143,   0.101689,  20.054324, 140.000000
1977-01-09,   7.500000,   2.397000,   0.054365,   0.000000,   0.054365,   2.341107,   0.000000,   2.341107,   0.101689,  20.054324, 140.000000
1977-01-10,   5.700000,   1.269000,   0.133620,   0.000000,   0.133620,   1.155921,   0.000000,   1.155921,   0.101689,  20.054324, 140.000000
1977-01-11,   4.000000,   0.000000,   0.174230,   0.000000,   0.064518,   0.000000,   0.000000,   0.000000,   0.082328,  20.034963, 140.000000
1977-01-12,   4.500000,   2.679000,   0.051745,   0.000000,   0.051745,   2.541516,   0.000000,   2.541516,   0.101689,  20.054324, 140.000000
1977-01-13,   5.300000,   0.282000,   0.317675,   0.000000,   0.317675,   0.033249,   0.000000,   0.033249,   0.101689,  20.054324, 140.000000
1977-01-14,   5.600000,   4.653000,   0.064845,   0.000000,   0.064845,   4.522626,   0.000000,   4.522626,   0.101689,  20.054324, 140.000000
1977-01-15,   6.900000,   0.282000,   0.087770,   0.000000,   0.087770,   0.200172,   0.000000,   0.200172,   0.101689,  20.054324, 140.000000
1977-01-16,   7.600000,   0.987000,   0.083840,   0.000000,   0.083840,   0.902141,   0.000000,   0.902141,   0.101689,  20.054324, 140.000000
1977-01-17,   6.100000,   0.141000,   0.346495,   0.000000,   0.128309,   0.080767,   0.000000,   0.080767,   0.101689,  20.054324, 140.000000
1977-01-18,   5.800000,   0.000000,   0.079910,   0.000000,   0.079910,   0.000000,   0.000000,   0.000000,   0.042490,  19.995126, 140.000000
1977-01-19,   6.300000,   0.000000,   0.078600,   0.000000,   0.029106,   0.000000,   0.000000,   0.000000,   0.033756,  19.986391, 140.000000
1977-01-20,   4.200000,   0.000000,   0.087115,   0.000000,   0.032259,   0.000000,   0.000000,   0.000000,   0.024075,  19.976711, 140.000000
1977-01-21,   2.800000,   0.705000,   0.058295,   0.000000,   0.058295,   0.430734,   0.000000,   0.430734,   0.101689,  20.054324, 140.000000
1977-01-22,   4.400000,   0.141000,   0.320950,   0.000000,   0.118849,   0.090226,   0.000000,   0.090226,   0.101689,  20.054324, 140.000000
1977-01-23,   3.800000,   0.705000,   0.118555,   0.000000,   0.118555,   0.533988,   0.000000,   0.533988,   0.101689,  20.054324, 140.000000
1977-01-24,   5.800000,   0.141000,   0.069430,   0.000000,   0.069430,   0.058838,   0.000000,   0.058838,   0.101689,  20.054324, 140.000000
1977-01-25,   0.800000,   0.000000,   0.082530,   0.000000,   0.082530,   0.000000,   0.000000,   0.000000,   0.040549,  19.993185, 140.000000
1977-01-26,   0.800000,   0.000000,   0.121830,   0.000000,   0.045114,   0.000000,   0.000000,   0.000000,   0.027011,  19.979647, 140.000000
1977-01-27,   3.600000,   0.000000,   0.351735,   0.000000,   0.130249,   0.000000,   0.000000,   0.000000,   0.000000,  19.940561, 140.000000
1977-01-28,   4.700000,   1.410000,   0.180780,   0.000000,   0.180780,   1.012262,   0.000000,   1.012262,   0.101689,  20.042249, 140.000000
1977-01-29,   4.200000,   0.000000,   0.396930,   0.000000,   0.146985,   0.000000,   0.000000,   0.000000,   0.057581,  19.998141, 140.000000
1977-01-30,   6.000000,   0.000000,   0.115280,   0.000000,   0.042689,   0.000000,   0.000000,   0.000000,   0.044770,  19.985331, 140.000000
1977-01-31,   8.200000,   0.000000,   0.428370,   0.000000,   0.158627,   0.000000,   0.000000,   0.000000,   0.000000,  19.897094, 140.000000
1977-02-01,   5.200000,   0.000000,   0.105455,   0.000000,   0.039050,   0.000000,   0.000000,   0.000000,   0.000000,  19.858043, 140.000000
1977-02-02,   4.600000,   0.000000,   0.131000,   0.000000,   0.048510,   0.000000,   0.000000,   0.000000,   0.000000,  19.809533, 140.000000
1977-02-03,   5.300000,   0.000000,   0.096285,   0.000000,   0.035655,   0.000000,   0.000000,   0.000000,   0.000000,  19.773878, 140.000000
1977-02-04,   5.300000,  12.354000,   0.094320,   0.000000,   0.094320,  10.000000,   0.000000,  10.000000,   2.034126,  21.808004, 140.000000
1977-02-05,   6.000000,   1.136000,   0.372695,   0.000000,   0.372695,   2.767892,   0.000000,   2.767892,   0.101689,  19.875567, 140.000000
1977-02-06,   6.900000,   0.000000,   0.168335,   0.000000,   0.062335,   0.000000,   0.000000,   0.000000,   0.082983,  19.856861, 140.000000
1977-02-07,   8.500000,   0.000000,   0.165060,   0.000000,   0.061122,   0.000000,   0.000000,   0.000000,   0.064641,  19.838519, 140.000000
1977-02-08,   7.500000,   0.000000,   0.128380,   0.000000,   0.047540,   0.000000,   0.000000,   0.000000,   0.050375,  19.824253, 140.000000
1977-02-09,   3.700000,   0.000000,   0.125105,   0.000000,   0.046327,   0.000000,   0.000000,   0.000000,   0.036473,  19.810351, 140.000000
1977-02-10,   2.900000,   0.000000,   0.100870,   0.000000,   0.037353,   0.000000,   0.000000,   0.000000,   0.025264,  19.774294, 140.000000
1977-02-11,   4.000000,   4.118000,   0.285580,   0.000000,   0.285580,   3.580012,   0.000000,   3.580012,   0.101689,  19.850719, 140.000000
1977-02-12,   5.300000,   3.834000,   0.339945,   0.000000,   0.339945,   3.508145,   0.000000,   3.508145,   0.101689,  19.850719, 140.000000
1977-02-13,   3.700000,   4.118000,   0.408720,   0.000000,   0.408720,   3.727105,   0.000000,   3.727105,   0.101689,  19.850719, 140.000000
1977-02-14,   4.800000,   0.568000,   0.586880,   0.000000,   0.586880,   0.027296,   0.000000,   0.027296,   0.101689,  19.850719, 140.000000
1977-02-15,   5.000000,   7.242000,   0.131000,   0.000000,   0.131000,   6.992844,   0.000000,   6.992844,   0.101689,  19.850719, 140.000000
1977-02-16,   1.900000,   2.982000,   0.503695,   0.000000,   0.503695,   2.574901,   0.000000,   2.574901,   0.101689,  19.850719, 140.000000
1977-02-17,   1.200000,   0.000000,   0.560025,   0.000000,   0.207380,   0.000000,   0.000000,   0.000000,   0.039457,  19.762791, 140.000000
1977-02-18,   4.300000,  10.366000,   0.130345,   0.000000,   0.130345,   9.957207,   0.000000,   9.957207,   0.101689,  19.825022, 140.000000
1977-02-19,   6.500000,   1.562000,   0.366800,   0.000000,   0.366800,   1.256485,   0.000000,   1.256485,   0.101689,  19.825022, 140.000000
1977-02-20,   5.500000,   1.562000,   0.394310,   0.000000,   0.394310,   1.174820,   0.000000,   1.174820,   0.101689,  19.825022, 140.000000
1977-02-21,   4.400000,   0.000000,   0.597360,   0.000000,   0.221205,   0.000000,   0.000000,   0.000000,   0.035308,  19.751619, 140.000000
1977-02-22,   3.500000,   3.834000,   0.459155,   0.000000,   0.459155,   3.177469,   0.000000,   3.177469,   0.101689,  19.817999, 140.000000
1977-02-23,   4.300000,   2.272000,   0.373350,   0.000000,   0.373350,   1.876411,   0.000000,   1.876411,   0.101689,  19.817999, 140.000000
1977-02-24,   4.400000,   1.136000,   0.649105,   0.000000,   0.649105,   0.558366,   0.000000,   0.558366,   0.101689,  19.817999, 140.000000
1977-02-25,   4.600000,   5.254000,   0.290165,   0.000000,   0.290165,   4.870804,   0.000000,   4.870804,   0.101689,  19.817999, 140.000000
1977-02-26,   4.600000,   0.568000,   0.506970,   0.000000,   0.506970,   0.117222,   0.000000,   0.117222,   0.101689,  19.817999, 140.000000
1977-02-27,   3.600000,   0.994000,   0.180125,   0.000000,   0.180125,   0.729163,   0.000000,   0.729163,   0.101689,  19.817999, 140.000000
