      Date,          T,          P,         Ep,          I,         Ea,       Dsum,         Db,        Dmp
1977-01-01,   5.300000,   0.000000,   0.063535,   0.000000,   0.063535,  10.000000,   0.000000,  10.000000
1977-01-02,   2.100000,   0.000000,   0.060260,   0.000000,   0.060260,  10.000000,   0.000000,  10.000000
1977-01-03,   2.500000,   0.000000,   0.058950,   0.000000,   0.058950,  10.000000,   0.000000,  10.000000
1977-01-04,   3.500000,   0.846000,   0.042575,   0.000000,   0.053610,  10.000000,   0.000000,  10.000000
1977-01-05,   3.800000,   7.473000,   0.060915,   0.000000,   0.076533,   9.857521,   0.000000,   9.857521
1977-01-06,   1.700000,   1.269000,   0.073360,   0.000000,   0.084443,   5.725251,   0.000000,   5.725251
1977-01-07,   3.800000,   1.692000,   0.151305,   0.000000,   0.162961,   2.868666,   0.000000,   2.868666
1977-01-08,   6.500000,   0.846000,   0.060260,   0.000000,   0.062980,   1.639247,   0.000000,   1.639247
1977-01-09,   7.500000,   2.397000,   0.054365,   0.000000,   0.056986,   1.758050,   0.000000,   1.758050
1977-01-10,   5.700000,   1.269000,   0.133620,   0.000000,   0.139566,   1.614200,   0.000000,   1.614200
1977-01-11,   4.000000,   0.000000,   0.174230,   0.000000,   0.178004,   0.733510,   0.000000,   0.733510
1977-01-12,   4.500000,   2.679000,   0.051745,   0.000000,   0.053702,   1.357425,   0.000000,   1.357425
1977-01-13,   5.300000,   0.282000,   0.317675,   0.000000,   0.326973,   1.026083,   0.000000,   1.026083
1977-01-14,   5.600000,   4.653000,   0.064845,   0.000000,   0.068989,   2.363595,   0.000000,   2.363595
1977-01-15,   6.900000,   0.282000,   0.087770,   0.000000,   0.092256,   1.869559,   0.000000,   1.869559
1977-01-16,   7.600000,   0.987000,   0.083840,   0.000000,   0.086387,   1.070203,   0.000000,   1.070203
1977-01-17,   6.100000,   0.141000,   0.346495,   0.000000,   0.351833,   0.491834,   0.000000,   0.491834
1977-01-18,   5.800000,   0.000000,   0.079910,   0.000000,   0.080343,   0.107091,   0.000000,   0.107091
1977-01-19,   6.300000,   0.000000,   0.078600,   0.000000,   0.078798,   0.005873,   0.000000,   0.005873
1977-01-20,   4.200000,   0.000000,   0.087115,   0.000000,   0.087192,   0.000000,   0.000000,   0.000000
1977-01-21,   2.800000,   0.705000,   0.058295,   0.000000,   0.058694,   0.164170,   0.000000,   0.164170
1977-01-22,   4.400000,   0.141000,   0.320950,   0.000000,   0.322755,   0.114940,   0.000000,   0.114940
1977-01-23,   3.800000,   0.705000,   0.118555,   0.000000,   0.119640,   0.251238,   0.000000,   0.251238
1977-01-24,   5.800000,   0.141000,   0.069430,   0.000000,   0.070022,   0.226937,   0.000000,   0.226937
1977-01-25,   0.800000,   0.000000,   0.082530,   0.000000,   0.082879,   0.061371,   0.000000,   0.061371
1977-01-26,   0.800000,   0.000000,   0.121830,   0.000000,   0.122018,   0.000000,   0.000000,   0.000000
1977-01-27,   3.600000,   0.000000,   0.351735,   0.000000,   0.130448,   0.000000,   0.000000,   0.000000
1977-01-28,   4.700000,   1.410000,   0.180780,   0.000000,   0.183331,   0.442352,   0.000000,   0.442352
1977-01-29,   4.200000,   0.000000,   0.396930,   0.000000,   0.400644,   0.258753,   0.000000,   0.258753
1977-01-30,   6.000000,   0.000000,   0.115280,   0.000000,   0.115524,   0.003189,   0.000000,   0.003189
1977-01-31,   8.200000,   0.000000,   0.428370,   0.000000,   0.118493,   0.000000,   0.000000,   0.000000
1977-02-01,   5.200000,   0.000000,   0.105455,   0.000000,   0.044954,   0.000000,   0.000000,   0.000000
1977-02-02,   4.600000,   0.000000,   0.131000,   0.000000,   0.014577,   0.000000,   0.000000,   0.000000
1977-02-03,   5.300000,   0.000000,   0.096285,   0.000000,   0.010714,   0.000000,   0.000000,   0.000000
1977-02-04,   5.300000,  12.354000,   0.094320,   0.000000,   0.107519,   5.295317,   0.000000,   5.295317
1977-02-05,   6.000000,   1.136000,   0.372695,   0.000000,   0.419722,   4.758886,   0.000000,   4.758886
1977-02-06,   6.900000,   0.000000,   0.168335,   0.000000,   0.176241,   1.709113,   0.000000,   1.709113
1977-02-07,   8.500000,   0.000000,   0.165060,   0.000000,   0.167584,   0.487933,   0.000000,   0.487933
1977-02-08,   7.500000,   0.000000,   0.128380,   0.000000,   0.129030,   0.093450,   0.000000,   0.093450
1977-02-09,   3.700000,   0.000000,   0.125105,   0.000000,   0.125309,   0.000003,   0.000000,   0.000003
1977-02-10,   2.900000,   0.000000,   0.100870,   0.000000,   0.023122,   0.000000,   0.000000,   0.000000
1977-02-11,   4.000000,   4.118000,   0.285580,   0.000000,   0.297934,   1.565363,   0.000000,   1.565363
1977-02-12,   5.300000,   3.834000,   0.339945,   0.000000,   0.366211,   2.875112,   0.000000,   2.875112
1977-02-13,   3.700000,   4.118000,   0.408720,   0.000000,   0.445577,   3.371454,   0.000000,   3.371454
1977-02-14,   4.800000,   0.568000,   0.586880,   0.000000,   0.617942,   1.935216,   0.000000,   1.935216
1977-02-15,   5.000000,   7.242000,   0.131000,   0.000000,   0.144121,   3.760525,   0.000000,   3.760525
1977-02-16,   1.900000,   2.982000,   0.503695,   0.000000,   0.556224,   3.913287,   0.000000,   3.913287
1977-02-17,   1.200000,   0.000000,   0.560025,   0.000000,   0.560060,   1.666812,   0.000000,   1.666812
1977-02-18,   4.300000,  10.366000,   0.130345,   0.000000,   0.147328,   4.922563,   0.000000,   4.922563
1977-02-19,   6.500000,   1.562000,   0.366800,   0.000000,   0.409486,   4.381282,   0.000000,   4.381282
1977-02-20,   5.500000,   1.562000,   0.394310,   0.000000,   0.418359,   2.247447,   0.000000,   2.247447
1977-02-21,   4.400000,   0.000000,   0.597360,   0.000000,   0.604352,   0.801166,   0.000000,   0.801166
1977-02-22,   3.500000,   3.834000,   0.459155,   0.000000,   0.479529,   1.606986,   0.000000,   1.606986
1977-02-23,   4.300000,   2.272000,   0.373350,   0.000000,   0.394410,   2.071195,   0.000000,   2.071195
1977-02-24,   4.400000,   1.136000,   0.649105,   0.000000,   0.673396,   1.338100,   0.000000,   1.338100
1977-02-25,   4.600000,   5.254000,   0.290165,   0.000000,   0.311476,   2.728428,   0.000000,   2.728428
1977-02-26,   4.600000,   0.568000,   0.506970,   0.000000,   0.534847,   2.015231,   0.000000,   2.015231
1977-02-27,   3.600000,   0.994000,   0.180125,   0.000000,   0.185358,   1.018400,   0.000000,   1.018400
1977-02-28,   4.000000,   8.520000,   0.288855,   0.000000,   0.320866,   4.168780,   0.000000,   4.168780
1977-03-01,   3.100000,   8.775000,   0.182745,   0.000000,   0.216419,   7.002348,   0.000000,   7.002348
1977-03-02,   4.000000,   0.000000,   0.262655,   0.000000,   0.291393,   4.114987,   0.000000,   4.114987
1977-03-03,   3.700000,   1.080000,   0.336015,   0.000000,   0.351226,   1.642410,   0.000000,   1.642410
1977-03-04,   4.700000,   0.270000,   0.262655,   0.000000,   0.268093,   0.696225,   0.000000,   0.696225
1977-03-05,   5.500000,   0.000000,   0.265930,   0.000000,   0.267604,   0.140978,   0.000000,   0.140978
1977-03-06,   7.400000,   0.000000,   0.684475,   0.000000,   0.261298,   0.000000,   0.000000,   0.000000
1977-03-07,   7.400000,   1.620000,   0.673995,   0.000000,   0.681601,   0.332456,   0.000000,   0.332456
1977-03-08,   4.900000,   0.405000,   0.215495,   0.000000,   0.217911,   0.330539,   0.000000,   0.330539
1977-03-09,   5.000000,   1.485000,   0.288200,   0.000000,   0.293936,   0.665264,   0.000000,   0.665264
1977-03-10,   6.800000,   4.320000,   0.351080,   0.000000,   0.372562,   2.255604,   0.000000,   2.255604
1977-03-11,   8.400000,   0.000000,   0.885560,   0.000000,   0.847681,   1.314759,   0.000000,   1.314759
1977-03-12,   5.300000,   6.615000,   0.717880,   0.000000,   0.773339,   2.869737,   0.000000,   2.869737
1977-03-13,   6.000000,   2.970000,   0.272480,   0.000000,   0.296994,   3.365429,   0.000000,   3.365429
1977-03-14,   5.400000,   8.235000,   0.712640,   0.000000,   0.808126,   5.052078,   0.000000,   5.052078
1977-03-15,   4.500000,   7.155000,   0.243660,   0.000000,   0.284461,   6.352211,   0.000000,   6.352211
1977-03-16,   5.000000,   1.755000,   0.959575,   0.000000,   1.061894,   3.995357,   0.000000,   3.995357
1977-03-17,   3.800000,   0.000000,   1.057825,   0.000000,   0.819896,   1.167055,   0.000000,   1.167055
1977-03-18,   3.400000,   0.810000,   0.955645,   0.000000,   0.961780,   0.144982,   0.000000,   0.144982
1977-03-19,   4.900000,   2.700000,   0.265930,   0.000000,   0.273652,   1.017417,   0.000000,   1.017417
1977-03-20,   6.800000,   1.755000,   0.314400,   0.000000,   0.327268,   1.475311,   0.000000,   1.475311
1977-03-21,   3.100000,  10.125000,   0.391035,   0.000000,   0.444213,   5.136423,   0.000000,   5.136423
1977-03-22,   4.700000,  15.120000,   0.318330,   0.000000,   0.397776,   9.591223,   0.000000,   9.591223
1977-03-23,   4.400000,  17.550000,   0.761110,   0.000000,   0.958376,  10.000000,   0.000000,  10.000000
1977-03-24,   5.300000,  12.285000,   0.601945,   0.000000,   0.757958,  10.000000,   0.000000,  10.000000
1977-03-25,   6.300000,   1.755000,   1.057010,   0.000000,   1.315810,  10.000000,   0.000000,  10.000000
1977-03-26,   6.000000,   0.000000,   0.757063,   0.000000,   0.677631,   6.088784,   0.000000,   6.088784
1977-03-27,   8.400000,   0.000000,   1.374172,   0.000000,   0.898450,   1.458028,   0.000000,   1.458028
1977-03-28,  11.800000,   1.350000,   1.493695,   0.000000,   1.359818,   0.341261,   0.000000,   0.341261
1977-03-29,   6.800000,   0.000000,   1.355009,   0.000000,   0.146257,   0.108415,   0.000000,   0.108415
1977-03-30,   7.500000,   0.135000,   0.642091,   0.000000,   0.201388,   0.033078,   0.000000,   0.033078
1977-03-31,   9.600000,   0.000000,   1.215119,   0.000000,   0.155597,   0.008241,   0.000000,   0.008241
1977-04-01,   4.500000,   0.000000,   1.559241,   0.000000,   0.325329,   0.000333,   0.000000,   0.000333
1977-04-02,   1.100000,   0.248000,   1.096566,   0.000000,   0.558169,   0.000000,   0.000000,   0.000000
1977-04-03,   0.600000,   0.000000,   1.079343,   0.000000,   0.377970,   0.000000,   0.000000,   0.000000
1977-04-04,   1.700000,   0.000000,   0.917508,   0.000000,   0.378931,   0.000000,   0.000000,   0.000000
1977-04-05,   3.900000,   2.728000,   1.203118,   0.000000,   1.611577,   0.685774,   0.000000,   0.685774
1977-04-06,   4.900000,   1.860000,   0.393755,   0.000000,   0.550714,   1.098516,   0.000000,   1.098516
1977-04-07,   5.500000,   0.992000,   0.493599,   0.000000,   0.696674,   0.857943,   0.000000,   0.857943
1977-04-08,   7.000000,   0.248000,   1.182924,   0.000000,   1.456926,   0.157887,   0.000000,   0.157887
1977-04-09,   6.500000,   0.000000,   0.985006,   0.000000,   0.597087,   0.000000,   0.000000,   0.000000
1977-04-10,   6.200000,   6.076000,   0.488986,   0.000000,   0.713688,   2.297847,   0.000000,   2.297847
1977-04-11,  10.100000,   0.868000,   1.246599,   0.000000,   1.800368,   1.886625,   0.000000,   1.886625
1977-04-12,  10.600000,  13.020000,   0.703562,   0.000000,   1.064879,   5.972231,   0.000000,   5.972231
1977-04-13,  11.800000,   0.124000,   1.603206,   0.000000,   1.966412,   4.250360,   0.000000,   4.250360
1977-04-14,  12.400000,   0.000000,   2.099009,   0.000000,   2.099009,   0.831929,   0.000000,   0.831929
1977-04-15,   9.900000,   0.992000,   1.044999,   0.000000,   1.680572,   0.021164,   0.000000,   0.021164
1977-04-16,   8.300000,   0.000000,   1.047911,   0.000000,   0.865254,   0.000000,   0.000000,   0.000000
1977-04-17,   6.100000,   0.000000,   1.782951,   0.000000,   1.251375,   0.000000,   0.000000,   0.000000
1977-04-18,   4.600000,   1.364000,   1.337624,   0.000000,   2.223611,   0.000000,   0.000000,   0.000000
1977-04-19,   4.900000,   6.076000,   1.300545,   0.000000,   2.180105,   2.029942,   0.000000,   2.029942
1977-04-20,   6.100000,   0.496000,   0.960612,   0.000000,   1.517004,   1.559768,   0.000000,   1.559768
1977-04-21,   6.600000,   0.000000,   1.769240,   0.000000,   1.769240,   0.232320,   0.000000,   0.232320
