Date,       P,      Ep,       I,      Ea,    Dsum,      Db,     Dmp
1977,   669.7,   363.9,     0.0,   256.3,   409.4,   409.4,     0.0
1978,  1055.4,   349.7,     0.0,   259.3,   764.6,   764.6,     0.0
1979,   800.2,   342.8,     0.0,   250.1,   575.1,   575.1,     0.0
1980,   827.1,   374.4,     0.0,   223.0,   614.6,   614.6,     0.0
1981,  1004.0,   329.6,     0.0,   253.9,   713.2,   713.2,     0.0
1982,  1198.8,   355.7,     0.0,   255.3,   920.6,   920.6,     0.0
1983,   921.9,   367.4,     0.0,   239.5,   722.5,   722.5,     0.0
1984,   664.4,   332.6,     0.0,   235.3,   446.6,   446.6,     0.0
1985,   775.3,   368.2,     0.0,   264.2,   493.6,   493.6,     0.0
1986,  1149.8,   315.5,     0.0,   264.6,   885.5,   885.5,     0.0
1987,  1178.4,   361.4,     0.0,   264.6,   910.1,   910.1,     0.0
1988,   933.2,   335.0,     0.0,   251.1,   696.1,   696.1,     0.0
1989,   672.5,   363.9,     0.0,   256.3,   421.1,   421.1,     0.0
1990,   991.2,   352.5,     0.0,   264.2,   701.0,   701.0,     0.0
1991,   760.0,   342.8,     0.0,   255.9,   523.0,   523.0,     0.0
1992,   793.8,   374.4,     0.0,   224.3,   580.1,   580.1,     0.0
1993,  1008.4,   329.6,     0.0,   256.7,   716.3,   716.3,     0.0
1994,  1121.5,   355.6,     0.0,   261.9,   847.4,   847.4,     0.0
1995,   886.7,   367.4,     0.0,   241.4,   664.2,   664.2,     0.0
1996,   680.4,   332.6,     0.0,   239.4,   466.9,   466.9,     0.0
1997,   724.0,   368.2,     0.0,   271.0,   439.1,   439.1,     0.0
1998,  1089.6,   317.3,     0.0,   270.3,   814.7,   814.7,     0.0
1999,  1092.3,   357.6,     0.0,   268.3,   822.6,   822.6,     0.0
2000,   874.7,   331.1,     0.0,   254.9,   631.7,   631.7,     0.0
2001,   836.8,   333.1,     0.0,   273.8,   535.8,   535.8,     0.0
2002,  1098.1,   356.0,     0.0,   280.1,   835.0,   835.0,     0.0
2003,   690.9,   372.5,     0.0,   270.3,   414.2,   414.2,     0.0
2004,  1034.2,   348.4,     0.0,   288.9,   743.9,   743.9,     0.0
2005,   817.2,   361.4,     0.0,   269.4,   553.3,   553.3,     0.0
2006,   863.6,   376.7,     0.0,   251.3,   620.4,   620.4,     0.0
2007,  1150.6,   373.1,     0.0,   290.7,   863.9,   863.9,     0.0
2008,   953.8,   392.9,     0.0,   273.1,   692.5,   692.5,     0.0
2009,   844.6,   390.8,     0.0,   283.5,   527.9,   527.9,     0.0
2010,   826.9,   357.9,     0.0,   284.6,   533.2,   533.2,     0.0
2011,   956.3,   367.9,     0.0,   295.9,   691.8,   691.8,     0.0
2012,   931.5,   364.4,     0.0,   288.4,   629.5,   629.5,     0.0
2013,   835.0,   372.5,     0.0,   279.7,   564.1,   564.1,     0.0
2014,   984.3,   388.0,     0.0,   296.8,   690.0,   690.0,     0.0
2015,  1053.5,   365.4,     0.0,   287.4,   745.3,   745.3,     0.0
2016,   798.0,   374.8,     0.0,   281.7,   543.8,   543.8,     0.0
2017,   995.2,   355.4,     0.0,   284.4,   693.7,   693.7,     0.0
2018,   671.5,   410.4,     0.0,   246.1,   441.6,   441.6,     0.0
2019,   367.7,   199.5,     0.0,   143.8,   239.8,   239.8,     0.0
