Date,       P,      Ep,       I,      Ea,    Dsum,      Db,     Dmp
1977,   669.7,   695.7,     0.0,   803.9,  -245.1,  -245.1,     0.0
1978,  1055.4,   666.8,     0.0,   785.4,   150.7,   150.7,     0.0
1979,   800.2,   650.3,     0.0,   759.8,   -75.5,   -75.5,     0.0
1980,   827.1,   715.2,     0.0,   821.9,  -101.7,  -101.7,     0.0
1981,  1004.0,   622.8,     0.0,   747.6,   125.9,   125.9,     0.0
1982,  1198.8,   675.8,     0.0,   782.3,   299.2,   299.2,     0.0
1983,   921.9,   694.0,     0.0,   803.9,   -19.2,   -19.2,     0.0
1984,   664.4,   619.7,     0.0,   700.7,  -131.4,  -131.4,     0.0
1985,   775.3,   697.1,     0.0,   804.4,  -145.6,  -145.6,     0.0
1986,  1149.8,   597.9,     0.0,   736.4,   266.8,   266.8,     0.0
1987,  1178.4,   688.8,     0.0,   819.1,   218.3,   218.3,     0.0
1988,   933.2,   636.5,     0.0,   756.8,    54.5,    54.5,     0.0
1989,   672.5,   695.6,     0.0,   803.9,  -242.1,  -242.1,     0.0
1990,   991.2,   672.0,     0.0,   794.0,    74.1,    74.1,     0.0
1991,   760.0,   650.3,     0.0,   765.5,  -128.2,  -128.2,     0.0
1992,   793.8,   715.2,     0.0,   823.5,  -141.8,  -141.8,     0.0
1993,  1008.4,   622.8,     0.0,   752.5,   113.5,   113.5,     0.0
1994,  1121.5,   675.6,     0.0,   785.9,   214.2,   214.2,     0.0
1995,   886.7,   694.0,     0.0,   808.6,   -75.4,   -75.4,     0.0
1996,   680.4,   619.7,     0.0,   704.8,  -127.3,  -127.3,     0.0
1997,   724.0,   697.1,     0.0,   809.4,  -204.4,  -204.4,     0.0
1998,  1089.6,   601.7,     0.0,   747.0,   185.1,   185.1,     0.0
1999,  1092.3,   681.1,     0.0,   816.4,   128.1,   128.1,     0.0
2000,   874.7,   629.4,     0.0,   752.7,   -11.4,   -11.4,     0.0
2001,   836.8,   622.7,     0.0,   758.2,  -104.6,  -104.6,     0.0
2002,  1098.1,   677.9,     0.0,   803.6,   195.2,   195.2,     0.0
2003,   690.9,   705.5,     0.0,   828.4,  -267.7,  -267.7,     0.0
2004,  1034.2,   660.3,     0.0,   805.4,    77.1,    77.1,     0.0
2005,   817.2,   678.1,     0.0,   792.4,  -136.1,  -136.1,     0.0
2006,   863.6,   708.8,     0.0,   826.0,   -78.7,   -78.7,     0.0
2007,  1150.6,   712.2,     0.0,   854.3,   150.9,   150.9,     0.0
2008,   953.8,   746.6,     0.0,   886.8,   -78.7,   -78.7,     0.0
2009,   844.6,   748.1,     0.0,   873.7,  -166.3,  -166.3,     0.0
2010,   826.9,   675.8,     0.0,   791.2,  -143.5,  -143.5,     0.0
2011,   956.3,   698.8,     0.0,   835.1,    10.7,    10.7,     0.0
2012,   931.5,   690.9,     0.0,   836.8,   -61.5,   -61.5,     0.0
2013,   835.0,   691.4,     0.0,   815.1,  -127.4,  -127.4,     0.0
2014,   984.3,   744.1,     0.0,   879.6,   -33.5,   -33.5,     0.0
2015,  1053.5,   692.4,     0.0,   820.3,   100.3,   100.3,     0.0
2016,   798.0,   710.0,     0.0,   846.7,  -188.6,  -188.6,     0.0
2017,   995.2,   675.2,     0.0,   818.6,    30.5,    30.5,     0.0
2018,   671.5,   779.8,     0.0,   879.9,  -319.3,  -319.3,     0.0
2019,   367.7,   366.8,     0.0,   424.1,  -114.5,  -114.5,     0.0
