      Date,          T,          P,         Ep,          I,         Ea,       Dsum,         Db,        Dmp
1977-01-01,   5.300000,   0.000000,   0.063535,   0.000000,   0.063535,   0.000000,   0.000000,   0.000000
1977-01-02,   2.100000,   0.000000,   0.060260,   0.000000,   0.060260,   0.000000,   0.000000,   0.000000
1977-01-03,   2.500000,   0.000000,   0.058950,   0.000000,   0.058950,   0.000000,   0.000000,   0.000000
1977-01-04,   3.500000,   0.846000,   0.042575,   0.000000,   0.053610,   0.000429,   0.000429,   0.000000
1977-01-05,   3.800000,   7.473000,   0.060915,   0.000000,   0.076703,   0.030149,   0.030149,   0.000000
1977-01-06,   1.700000,   1.269000,   0.073360,   0.000000,   0.092374,   0.242145,   0.242145,   0.000000
1977-01-07,   3.800000,   1.692000,   0.151305,   0.000000,   0.190520,   0.645739,   0.645739,   0.000000
1977-01-08,   6.500000,   0.846000,   0.060260,   0.000000,   0.075878,   1.059477,   1.059477,   0.000000
1977-01-09,   7.500000,   2.397000,   0.054365,   0.000000,   0.068455,   1.358458,   1.358458,   0.000000
1977-01-10,   5.700000,   1.269000,   0.133620,   0.000000,   0.168252,   1.535361,   1.535361,   0.000000
1977-01-11,   4.000000,   0.000000,   0.174230,   0.000000,   0.219387,   1.619959,   1.619959,   0.000000
1977-01-12,   4.500000,   2.679000,   0.051745,   0.000000,   0.065156,   1.605195,   1.605195,   0.000000
1977-01-13,   5.300000,   0.282000,   0.317675,   0.000000,   0.400011,   1.537015,   1.537015,   0.000000
1977-01-14,   5.600000,   4.653000,   0.064845,   0.000000,   0.081652,   1.460682,   1.460682,   0.000000
1977-01-15,   6.900000,   0.282000,   0.087770,   0.000000,   0.110518,   1.442236,   1.442236,   0.000000
1977-01-16,   7.600000,   0.987000,   0.083840,   0.000000,   0.105570,   1.482869,   1.482869,   0.000000
1977-01-17,   6.100000,   0.141000,   0.346495,   0.000000,   0.436300,   1.496742,   1.496742,   0.000000
1977-01-18,   5.800000,   0.000000,   0.079910,   0.000000,   0.100621,   1.431201,   1.431201,   0.000000
1977-01-19,   6.300000,   0.000000,   0.078600,   0.000000,   0.098972,   1.276912,   1.276912,   0.000000
1977-01-20,   4.200000,   0.000000,   0.087115,   0.000000,   0.109694,   1.065256,   1.065256,   0.000000
1977-01-21,   2.800000,   0.705000,   0.058295,   0.000000,   0.073404,   0.838252,   0.838252,   0.000000
1977-01-22,   4.400000,   0.141000,   0.320950,   0.000000,   0.404134,   0.637777,   0.637777,   0.000000
1977-01-23,   3.800000,   0.705000,   0.118555,   0.000000,   0.149282,   0.479839,   0.479839,   0.000000
1977-01-24,   5.800000,   0.141000,   0.069430,   0.000000,   0.087425,   0.366303,   0.366303,   0.000000
1977-01-25,   0.800000,   0.000000,   0.082530,   0.000000,   0.103920,   0.291936,   0.291936,   0.000000
1977-01-26,   0.800000,   0.000000,   0.121830,   0.000000,   0.153406,   0.236998,   0.236998,   0.000000
1977-01-27,   3.600000,   0.000000,   0.351735,   0.000000,   0.442898,   0.187553,   0.187553,   0.000000
1977-01-28,   4.700000,   1.410000,   0.180780,   0.000000,   0.227635,   0.142752,   0.142752,   0.000000
1977-01-29,   4.200000,   0.000000,   0.396930,   0.000000,   0.499807,   0.115559,   0.115559,   0.000000
1977-01-30,   6.000000,   0.000000,   0.115280,   0.000000,   0.145158,   0.104732,   0.104732,   0.000000
1977-01-31,   8.200000,   0.000000,   0.428370,   0.000000,   0.498760,   0.092277,   0.092277,   0.000000
1977-02-01,   5.200000,   0.000000,   0.105455,   0.000000,   0.105455,   0.075735,   0.075735,   0.000000
1977-02-02,   4.600000,   0.000000,   0.131000,   0.000000,   0.131000,   0.058280,   0.058280,   0.000000
1977-02-03,   5.300000,   0.000000,   0.096285,   0.000000,   0.096285,   0.042598,   0.042598,   0.000000
1977-02-04,   5.300000,  12.354000,   0.094320,   0.000000,   0.118766,   0.058390,   0.058390,   0.000000
1977-02-05,   6.000000,   1.136000,   0.372695,   0.000000,   0.469291,   0.326854,   0.326854,   0.000000
1977-02-06,   6.900000,   0.000000,   0.168335,   0.000000,   0.211964,   0.866417,   0.866417,   0.000000
