Date,       P,      Ep,       I,      Ea,    Dsum,      Db,     Dmp
2005,   707.0, 59002.8,     0.0,  2758.7,     0.0,     0.0,     0.0
2006,   786.3, 61309.3,     0.0,  3106.6,     0.0,     0.0,     0.0
2007,   820.1, 59281.9,     0.0,  3144.3,     0.0,     0.0,     0.0
2008,   840.9, 58689.5,     0.0,  2859.5,     0.0,     0.0,     0.0
2009,   822.2, 61778.7,     0.0,  2998.6,     0.0,     0.0,     0.0
2010,   813.6, 56047.8,     0.0,  2850.7,     0.0,     0.0,     0.0
2011,   813.9, 60135.9,     0.0,  3032.5,     0.0,     0.0,     0.0
2012,   801.9, 62629.8,     0.0,  2956.0,     0.0,     0.0,     0.0
2013,   796.1, 60217.7,     0.0,  3189.8,     0.0,     0.0,     0.0
2014,   833.1, 63279.4,     0.0,  3093.6,     0.0,     0.0,     0.0
2015,   808.9, 62903.5,     0.0,  2878.0,     0.0,     0.0,     0.0
2016,   829.8, 63989.2,     0.0,  3274.9,     0.0,     0.0,     0.0
2017,   823.0, 61914.0,     0.0,  3319.9,     0.0,     0.0,     0.0
2018,   837.4, 65140.4,     0.0,  3382.6,     0.0,     0.0,     0.0
2019,   680.2, 59751.9,     0.0,  2996.2,     0.0,     0.0,     0.0
