Date,       P,      Ep,       I,      Ea,    Dsum,      Db,     Dmp
2001,  1111.7,  7339.6,     0.0,  7643.2, -6858.9, -6858.9,     0.0
2002,  1546.9,  6650.7,     0.0,  7014.9, -5845.5, -5845.5,     0.0
2003,  1564.7,  8193.9,     0.0,  8547.1, -7348.5, -7348.5,     0.0
2004,  1554.4,  7406.2,     0.0,  7763.1, -6575.4, -6575.4,     0.0
2005,  1541.2,  6890.5,     0.0,  7236.1, -6062.9, -6062.9,     0.0
2006,  1539.8,  8180.5,     0.0,  8539.7, -7370.4, -7370.4,     0.0
2007,  1524.0,  7509.0,     0.0,  7851.9, -6695.3, -6695.3,     0.0
2008,  1527.8,  6111.0,     0.0,  6463.4, -5300.2, -5300.2,     0.0
2009,  1562.1,  7796.9,     0.0,  8152.9, -7026.9, -7026.9,     0.0
2010,  1530.2,  7316.8,     0.0,  7645.6, -6645.3, -6645.3,     0.0
2011,  1553.2,  8994.2,     0.0,  9350.0, -8125.0, -8125.0,     0.0
2012,  1554.7,  6383.3,     0.0,  6729.8, -5544.8, -5544.8,     0.0
2013,  1563.8,  7062.1,     0.0,  7410.3, -6210.2, -6210.2,     0.0
2014,  1542.5,  7921.1,     0.0,  8288.7, -7113.8, -7113.8,     0.0
2015,  1557.1,  7673.1,     0.0,  8033.7, -6843.0, -6843.0,     0.0
2016,  1547.5,  7707.0,     0.0,  8075.9, -6897.3, -6897.3,     0.0
2017,  1535.1,  7674.5,     0.0,  8039.1, -6895.8, -6895.8,     0.0
2018,  1573.8,  9420.1,     0.0,  9775.8, -8557.6, -8557.6,     0.0
2019,  1227.7,  8104.5,     0.0,  8437.6, -7550.2, -7550.2,     0.0
