      Date,          T,          P,         Ep,          I,         Ea,       Dsum,         Db,        Dmp,         Ve,         Vr,         Vb
2005-02-02,   4.834286,   2.110000,  17.685000,   0.000000,   6.548835,   9.793106,   0.000000,   9.793106,   0.101689,  15.768059, 140.000000
2005-02-03,   5.361429,   1.020000,  18.217188,   0.000000,   6.745907,   0.000000,   0.000000,   0.000000,   0.000000,  10.042152, 140.000000
2005-02-04,   5.888571,   2.650000,  18.749375,   0.000000,   6.942978,   0.214830,   0.000000,   0.214830,   0.101689,   5.534344, 140.000000
2005-02-05,   6.415714,   3.160000,  19.281562,   0.000000,   6.771605,   0.767380,   0.000000,   0.767380,   0.101689,   1.155359, 140.000000
2005-02-06,   6.942857,   4.230000,  19.813750,   0.000000,   3.392483,   1.778242,   0.000000,   1.778242,   0.101689,   0.214634, 140.000000
2005-02-07,   7.470000,   4.200000,  20.345938,   0.000000,   2.690592,   1.689104,   0.000000,   1.689104,   0.101689,   0.034939, 140.000000
2005-02-08,   6.720000,   2.610000,  20.878125,   0.000000,   2.600089,   0.039966,   0.000000,   0.039966,   0.101689,   0.004884, 140.000000
2005-02-09,   5.970000,   2.700000,  21.410312,   0.000000,   2.633486,   0.070828,   0.000000,   0.070828,   0.101689,   0.000571, 140.000000
2005-02-10,   5.220000,   1.950000,  21.942500,   0.000000,   2.688311,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000, 139.262260
2005-02-11,   4.470000,   1.580000,  22.474688,   0.000000,   2.747449,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000, 138.094811
2005-02-12,   3.720000,   1.290000,  23.006875,   0.000000,   2.806587,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000, 136.578224
2005-02-13,   2.970000,   4.950000,  23.539062,   0.000000,   2.964887,   1.982586,   0.000000,   1.982586,   0.101689,   0.002527, 136.578224
2005-02-14,   3.580000,   2.490000,  24.071250,   0.000000,   2.924863,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000, 136.145888
2005-02-15,   4.190000,   2.560000,  24.603438,   0.000000,   2.984001,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000, 135.721887
2005-02-16,   4.276667,   1.750000,  25.135625,   0.000000,   3.043139,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000, 134.428748
2005-02-17,   4.363333,   3.780000,  25.667813,   0.000000,   3.203966,   0.576034,   0.000000,   0.576034,   0.101689,   0.000000, 134.428748
2005-02-18,   4.450000,   1.390000,  26.200000,   0.000000,   3.161416,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000, 132.657332
2005-02-19,   4.536667,   2.790000,  28.714732,   0.000000,   3.440860,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000, 132.006473
2005-02-20,   4.623333,   2.100000,  31.229464,   0.000000,   3.720303,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000, 130.386169
2005-02-21,   4.710000,   3.390000,  33.744196,   0.000000,   3.999747,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000, 129.776422
2005-02-22,   4.865417,   2.490000,  36.258929,   0.000000,   4.279191,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000, 127.987231
2005-02-23,   5.020833,   1.820000,  38.773661,   0.000000,   4.558635,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000, 125.248596
2005-02-24,   5.176250,   2.970000,  41.288393,   0.000000,   4.838079,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000, 123.380516
2005-02-25,   5.331667,   3.430000,  43.803125,   0.000000,   5.117523,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000, 121.692993
2005-02-26,   5.487083,   3.070000,  46.317857,   0.000000,   5.396967,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000, 119.366027
2005-02-27,   5.642500,   3.300000,  48.832589,   0.000000,   5.676411,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000, 116.989616
2005-02-28,   5.797917,   2.370000,  51.347321,   0.000000,   5.955855,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000, 113.403761
2005-03-01,   5.953333,   1.640000,  53.862054,   0.000000,   6.235299,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000, 108.808463
2005-03-02,   6.108750,   1.330000,  56.376786,   0.000000,   6.514743,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000, 103.623720
2005-03-03,   6.264167,   1.640000,  58.891518,   0.000000,   6.794186,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,  98.469534
2005-03-04,   6.419583,   1.190000,  61.406250,   0.000000,   7.073630,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,  92.585903
2005-03-05,   6.575000,   0.270000,  63.920982,   0.000000,   7.353074,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,  85.502829
2005-03-06,   6.730417,   2.180000,  66.435714,   0.000000,   7.632518,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,  80.050311
2005-03-07,   6.885833,   1.600000,  68.950446,   0.000000,   7.911962,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,  73.738349
2005-03-08,   7.041250,   0.370000,  71.465179,   0.000000,   8.191406,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,  65.916943
2005-03-09,   7.196667,   2.460000,  73.979911,   0.000000,   8.470850,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,  59.906093
2005-03-10,   7.352083,   1.090000,  76.494643,   0.000000,   8.750294,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,  52.245799
2005-03-11,   7.507500,   2.050000,  79.009375,   0.000000,   0.351689,   1.698311,   0.000000,   1.698311,   0.101689,   0.000000,  52.245799
2005-03-12,   7.662917,   2.730000,  81.524107,   0.000000,   0.250000,   2.480000,   0.000000,   2.480000,   0.101689,   0.000000,  52.245799
2005-03-13,   7.818333,   2.130000,  84.038839,   0.000000,   0.250000,   1.880000,   0.000000,   1.880000,   0.101689,   0.000000,  52.245799
2005-03-14,   7.973750,   3.140000,  86.553571,   0.000000,   0.250000,   2.890000,   0.000000,   2.890000,   0.101689,   0.000000,  52.245799
2005-03-15,   8.129167,   0.770000,  89.068304,   0.000000,   0.250000,   0.520000,   0.000000,   0.520000,   0.101689,   0.000000,  52.245799
2005-03-16,   8.284583,   2.400000,  91.583036,   0.000000,   0.250000,   2.150000,   0.000000,   2.150000,   0.101689,   0.000000,  52.245799
2005-03-17,   8.440000,   1.320000,  94.097768,   0.000000,   0.250000,   1.070000,   0.000000,   1.070000,   0.101689,   0.000000,  52.245799
2005-03-18,   8.595417,   1.130000,  96.967436,   0.000000,   1.380491,   0.869062,   0.000000,   0.869062,   0.101689,   0.000000,  51.126246
2005-03-19,   8.750833,   1.420000, 100.060533,   0.000000,   1.397584,   1.141968,   0.000000,   1.141968,   0.101689,   0.000000,  50.006694
2005-03-20,   8.906250,   1.690000, 103.236300,   0.000000,   1.416254,   1.393299,   0.000000,   1.393299,   0.101689,   0.000000,  48.887141
2005-03-21,   9.061667,   2.060000, 106.504482,   0.000000,   1.436663,   1.742890,   0.000000,   1.742890,   0.101689,   0.000000,  47.767588
2005-03-22,   9.217083,   0.830000, 109.876056,   0.000000,   1.458996,   0.490557,   0.000000,   0.490557,   0.101689,   0.000000,  46.648035
2005-03-23,   9.372500,   2.900000, 113.363405,   0.000000,   1.483457,   2.536096,   0.000000,   2.536096,   0.101689,   0.000000,  45.528482
2005-03-24,   9.527917,   2.470000, 116.980501,   0.000000,   1.435639,   2.079277,   0.000000,   2.079277,   0.101689,   0.000000,  44.483566
2005-03-25,   9.683333,   0.460000, 120.743132,   0.000000,   1.315796,   0.039847,   0.000000,   0.039847,   0.101689,   0.000000,  43.587924
2005-03-26,   9.838750,   3.490000, 124.669145,   0.000000,   1.348125,   3.037517,   0.000000,   3.037517,   0.101689,   0.000000,  42.692282
2005-03-27,   9.994167,   3.900000, 128.778737,   0.000000,   1.383675,   3.411967,   0.000000,   3.411967,   0.101689,   0.000000,  41.796639
2005-03-28,  10.149583,   3.180000, 133.094782,   0.000000,   1.422805,   2.652837,   0.000000,   2.652837,   0.101689,   0.000000,  40.900997
2005-03-29,  10.305000,   1.820000, 137.643211,   0.000000,   1.465918,   1.249724,   0.000000,   1.249724,   0.101689,   0.000000,  40.005355
2005-03-30,  10.460417,   0.930000, 142.453445,   0.000000,   1.513469,   0.312173,   0.000000,   0.312173,   0.101689,   0.000000,  39.109713
2005-03-31,  10.615833,   3.050000, 147.558890,   0.000000,   1.565967,   2.379675,   0.000000,   2.379675,   0.101689,   0.000000,  38.214070
