Date,       P,      Ep,       I,      Ea,    Dsum,      Db,     Dmp,      Ve,      Vr,      Vb
2005,   707.0, 59002.8,     0.0,   502.5,   374.6,     0.0,   374.6,    30.2,    32.8,  6044.1
2006,   786.3, 61309.3,     0.0,   262.3,   524.0,     0.0,   524.0,    37.1,     0.0,     0.0
2007,   820.1, 59281.9,     0.0,   266.1,   554.0,     0.0,   554.0,    37.1,     0.0,     0.0
2008,   840.9, 58689.5,     0.0,   271.4,   569.6,     0.0,   569.6,    37.2,     0.0,     0.0
2009,   822.2, 61778.7,     0.0,   322.2,   499.9,     0.0,   499.9,    37.1,     0.0,     0.0
2010,   813.6, 56047.8,     0.0,   365.2,   448.4,     0.0,   448.4,    37.1,     0.0,     0.0
2011,   813.9, 60135.9,     0.0,   281.0,   532.9,     0.0,   532.9,    37.1,     0.0,     0.0
2012,   801.9, 62629.8,     0.0,   292.9,   509.1,     0.0,   509.1,    37.2,     0.0,     0.0
2013,   796.1, 60217.7,     0.0,   284.4,   511.8,     0.0,   511.8,    37.1,     0.0,     0.0
2014,   833.1, 63279.4,     0.0,   284.2,   549.0,     0.0,   549.0,    37.1,     0.0,     0.0
2015,   808.9, 62903.5,     0.0,   266.8,   542.1,     0.0,   542.1,    37.1,     0.0,     0.0
2016,   829.8, 63989.2,     0.0,   288.2,   541.5,     0.0,   541.5,    37.2,     0.0,     0.0
2017,   823.0, 61914.0,     0.0,   294.2,   528.9,     0.0,   528.9,    37.1,     0.0,     0.0
2018,   837.4, 65140.4,     0.0,   265.4,   572.0,     0.0,   572.0,    37.1,     0.0,     0.0
2019,   680.2, 59751.9,     0.0,   265.5,   414.7,     0.0,   414.7,    31.8,     0.0,     0.0
