      Date,          T,          P,         Ep,          I,         Ea,       Dsum,         Db,        Dmp
2005-02-02,   4.834286,   2.110000,  24.300000,   0.000000,  24.800000, -23.190000, -23.190000,   0.000000
2005-02-03,   5.361429,   1.020000,  25.031250,   0.000000,  25.531250, -25.011250, -25.011250,   0.000000
2005-02-04,   5.888571,   2.650000,  25.762500,   0.000000,  26.262500, -24.112500, -24.112500,   0.000000
2005-02-05,   6.415714,   3.160000,  26.493750,   0.000000,  26.993750, -24.333750, -24.333750,   0.000000
2005-02-06,   6.942857,   4.230000,  27.225000,   0.000000,  27.725000, -23.995000, -23.995000,   0.000000
2005-02-07,   7.470000,   4.200000,  27.956250,   0.000000,  28.456250, -24.756250, -24.756250,   0.000000
2005-02-08,   6.720000,   2.610000,  28.687500,   0.000000,  29.187500, -27.077500, -27.077500,   0.000000
2005-02-09,   5.970000,   2.700000,  29.418750,   0.000000,  29.918750, -27.718750, -27.718750,   0.000000
2005-02-10,   5.220000,   1.950000,  30.150000,   0.000000,  30.650000, -29.200000, -29.200000,   0.000000
2005-02-11,   4.470000,   1.580000,  30.881250,   0.000000,  31.381250, -30.301250, -30.301250,   0.000000
2005-02-12,   3.720000,   1.290000,  31.612500,   0.000000,  32.112500, -31.322500, -31.322500,   0.000000
2005-02-13,   2.970000,   4.950000,  32.343750,   0.000000,  32.843750, -28.393750, -28.393750,   0.000000
2005-02-14,   3.580000,   2.490000,  33.075000,   0.000000,  33.575000, -31.585000, -31.585000,   0.000000
2005-02-15,   4.190000,   2.560000,  33.806250,   0.000000,  34.306250, -32.246250, -32.246250,   0.000000
2005-02-16,   4.276667,   1.750000,  34.537500,   0.000000,  35.037500, -33.787500, -33.787500,   0.000000
2005-02-17,   4.363333,   3.780000,  35.268750,   0.000000,  35.768750, -32.488750, -32.488750,   0.000000
2005-02-18,   4.450000,   1.390000,  36.000000,   0.000000,  36.500000, -35.610000, -35.610000,   0.000000
2005-02-19,   4.536667,   2.790000,  39.455357,   0.000000,  39.955357, -37.665357, -37.665357,   0.000000
2005-02-20,   4.623333,   2.100000,  42.910714,   0.000000,  43.410714, -41.810714, -41.810714,   0.000000
2005-02-21,   4.710000,   3.390000,  46.366071,   0.000000,  46.866071, -43.976071, -43.976071,   0.000000
2005-02-22,   4.865417,   2.490000,  49.821429,   0.000000,  50.321429, -48.331429, -48.331429,   0.000000
2005-02-23,   5.020833,   1.820000,  53.276786,   0.000000,  53.776786, -52.456786, -52.456786,   0.000000
2005-02-24,   5.176250,   2.970000,  56.732143,   0.000000,  57.232143, -54.762143, -54.762143,   0.000000
2005-02-25,   5.331667,   3.430000,  60.187500,   0.000000,  60.687500, -57.757500, -57.757500,   0.000000
