Date,       P,      Ep,       I,      Ea,    Dsum,      Db,     Dmp
2005,   707.0, 86363.5,     0.0, 76503.8,-76130.9,-76130.9,     0.0
2006,   786.3, 90120.6,     0.0, 81228.7,-80779.9,-80779.9,     0.0
2007,   820.1, 89564.7,     0.0, 79376.1,-78916.2,-78916.2,     0.0
2008,   840.9, 86638.7,     0.0, 78454.5,-77960.4,-77960.4,     0.0
2009,   822.2, 89877.2,     0.0, 81099.3,-80664.1,-80664.1,     0.0
2010,   813.6, 81010.0,     0.0, 73862.3,-73491.2,-73491.2,     0.0
2011,   813.9, 89160.0,     0.0, 79832.6,-79371.4,-79371.4,     0.0
2012,   801.9, 89735.8,     0.0, 80686.1,-80254.1,-80254.1,     0.0
2013,   796.1, 88567.8,     0.0, 78596.7,-78166.0,-78166.0,     0.0
2014,   833.1, 93992.0,     0.0, 84295.7,-83819.6,-83819.6,     0.0
2015,   808.9, 87729.1,     0.0, 78052.6,-77588.8,-77588.8,     0.0
2016,   829.8, 92614.7,     0.0, 82932.1,-82445.3,-82445.3,     0.0
2017,   823.0, 89868.6,     0.0, 79393.7,-78936.7,-78936.7,     0.0
2018,   837.4, 97853.1,     0.0, 86899.5,-86406.9,-86406.9,     0.0
2019,   680.2, 88854.5,     0.0, 79326.9,-78977.3,-78977.3,     0.0
