      Date,          T,          P,         Ep,          I,         Ea,       Dsum,         Db,        Dmp,         Ve,         Vr,         Vb
1977-01-01,   5.300000,   0.000000,   0.087300,   0.000000,   0.087300,  -0.087300,  -0.087300,   0.000000,   9.952089, 300.000000,   0.000000
1977-01-02,   2.100000,   0.000000,   0.082800,   0.000000,   0.082800,  -0.082800,  -0.082800,   0.000000,   9.906647, 300.000000,   0.000000
1977-01-03,   2.500000,   0.000000,   0.081000,   0.000000,   0.081000,  -0.081000,  -0.081000,   0.000000,   9.862193, 300.000000,   0.000000
1977-01-04,   3.500000,   0.846000,   0.058500,   0.000000,   0.058500,   0.287500,   0.287500,   0.000000,  10.000000, 300.000000,   0.000000
1977-01-05,   3.800000,   7.473000,   0.083700,   0.000000,   0.083700,   7.362905,   7.362905,   0.000000,  10.000000, 300.000000,   0.000000
1977-01-06,   1.700000,   1.269000,   0.100800,   0.000000,   0.100800,   1.130436,   1.130436,   0.000000,  10.000000, 300.000000,   0.000000
1977-01-07,   3.800000,   1.692000,   0.207900,   0.000000,   0.207900,   1.438620,   1.438620,   0.000000,  10.000000, 300.000000,   0.000000
1977-01-08,   6.500000,   0.846000,   0.082800,   0.000000,   0.082800,   0.669398,   0.669398,   0.000000,  10.000000, 300.000000,   0.000000
1977-01-09,   7.500000,   2.397000,   0.074700,   0.000000,   0.074700,   2.284942,   2.284942,   0.000000,  10.000000, 300.000000,   0.000000
1977-01-10,   5.700000,   1.269000,   0.183600,   0.000000,   0.183600,   1.051696,   1.051696,   0.000000,  10.000000, 300.000000,   0.000000
1977-01-11,   4.000000,   0.000000,   0.239400,   0.000000,   0.239400,  -0.239400,  -0.239400,   0.000000,   9.868614, 300.000000,   0.000000
1977-01-12,   4.500000,   2.679000,   0.071100,   0.000000,   0.071100,   2.417047,   2.417047,   0.000000,  10.000000, 300.000000,   0.000000
1977-01-13,   5.300000,   0.282000,   0.436500,   0.000000,   0.436500,  -0.186579,  -0.186579,   0.000000,  10.000000, 300.000000,   0.000000
1977-01-14,   5.600000,   4.653000,   0.089100,   0.000000,   0.089100,   4.366956,   4.366956,   0.000000,  10.000000, 300.000000,   0.000000
1977-01-15,   6.900000,   0.282000,   0.120600,   0.000000,   0.120600,   0.121199,   0.121199,   0.000000,  10.000000, 300.000000,   0.000000
1977-01-16,   7.600000,   0.987000,   0.115200,   0.000000,   0.115200,   0.817387,   0.817387,   0.000000,  10.000000, 300.000000,   0.000000
1977-01-17,   6.100000,   0.141000,   0.476100,   0.000000,   0.476100,  -0.387077,  -0.387077,   0.000000,   9.827734, 300.000000,   0.000000
1977-01-18,   5.800000,   0.000000,   0.109800,   0.000000,   0.109800,  -0.109800,  -0.109800,   0.000000,   9.767474, 300.000000,   0.000000
1977-01-19,   6.300000,   0.000000,   0.108000,   0.000000,   0.108000,  -0.108000,  -0.108000,   0.000000,   9.708203, 300.000000,   0.000000
1977-01-20,   4.200000,   0.000000,   0.119700,   0.000000,   0.119700,  -0.119700,  -0.119700,   0.000000,   9.642510, 300.000000,   0.000000
1977-01-21,   2.800000,   0.705000,   0.080100,   0.000000,   0.080100,   0.257813,   0.257813,   0.000000,   9.936463, 300.000000,   0.000000
1977-01-22,   4.400000,   0.141000,   0.441000,   0.000000,   0.441000,  -0.336140,  -0.336140,   0.000000,   9.799297, 300.000000,   0.000000
1977-01-23,   3.800000,   0.705000,   0.162900,   0.000000,   0.162900,   0.343126,   0.343126,   0.000000,  10.000000, 300.000000,   0.000000
1977-01-24,   5.800000,   0.141000,   0.095400,   0.000000,   0.095400,  -0.027899,  -0.027899,   0.000000,  10.000000, 300.000000,   0.000000
1977-01-25,   0.800000,   0.000000,   0.113400,   0.000000,   0.113400,  -0.113400,  -0.113400,   0.000000,   9.937765, 300.000000,   0.000000
1977-01-26,   0.800000,   0.000000,   0.167400,   0.000000,   0.167400,  -0.167400,  -0.167400,   0.000000,   9.845894, 300.000000,   0.000000
1977-01-27,   3.600000,   0.000000,   0.483300,   0.000000,   0.483300,  -0.483300,  -0.483300,   0.000000,   9.580653, 300.000000,   0.000000
1977-01-28,   4.700000,   1.410000,   0.248400,   0.000000,   0.248400,   0.773804,   0.773804,   0.000000,  10.000000, 300.000000,   0.000000
1977-01-29,   4.200000,   0.000000,   0.545400,   0.000000,   0.545400,  -0.545400,  -0.545400,   0.000000,   9.700678, 300.000000,   0.000000
1977-01-30,   6.000000,   0.000000,   0.158400,   0.000000,   0.158400,  -0.158400,  -0.158400,   0.000000,   9.613746, 300.000000,   0.000000
1977-01-31,   8.200000,   0.000000,   0.588600,   0.000000,   0.588600,  -0.588600,  -0.588600,   0.000000,   9.290716, 300.000000,   0.000000
1977-02-01,   5.200000,   0.000000,   0.144900,   0.000000,   0.144900,  -0.144900,  -0.144900,   0.000000,   9.211193, 300.000000,   0.000000
1977-02-02,   4.600000,   0.000000,   0.180000,   0.000000,   0.180000,  -0.180000,  -0.180000,   0.000000,   9.112407, 300.000000,   0.000000
1977-02-03,   5.300000,   0.000000,   0.132300,   0.000000,   0.132300,  -0.132300,  -0.132300,   0.000000,   9.039799, 300.000000,   0.000000
1977-02-04,   5.300000,  12.354000,   0.129600,   0.000000,   0.129600,  11.724400,  11.724400,   0.000000,  10.000000, 300.000000,   0.000000
1977-02-05,   6.000000,   1.136000,   0.512100,   0.000000,   0.512100,   0.565426,   0.565426,   0.000000,  10.000000, 300.000000,   0.000000
1977-02-06,   6.900000,   0.000000,   0.231300,   0.000000,   0.231300,  -0.231300,  -0.231300,   0.000000,   9.873060, 300.000000,   0.000000
1977-02-07,   8.500000,   0.000000,   0.226800,   0.000000,   0.226800,  -0.226800,  -0.226800,   0.000000,   9.748589, 300.000000,   0.000000
1977-02-08,   7.500000,   0.000000,   0.176400,   0.000000,   0.176400,  -0.176400,  -0.176400,   0.000000,   9.651779, 300.000000,   0.000000
1977-02-09,   3.700000,   0.000000,   0.171900,   0.000000,   0.171900,  -0.171900,  -0.171900,   0.000000,   9.557438, 300.000000,   0.000000
1977-02-10,   2.900000,   0.000000,   0.138600,   0.000000,   0.138600,  -0.138600,  -0.138600,   0.000000,   9.481373, 300.000000,   0.000000
1977-02-11,   4.000000,   4.118000,   0.392400,   0.000000,   0.392400,   3.225600,   3.225600,   0.000000,  10.000000, 300.000000,   0.000000
1977-02-12,   5.300000,   3.834000,   0.467100,   0.000000,   0.467100,   3.189854,   3.189854,   0.000000,  10.000000, 300.000000,   0.000000
1977-02-13,   3.700000,   4.118000,   0.561600,   0.000000,   0.561600,   3.345650,   3.345650,   0.000000,  10.000000, 300.000000,   0.000000
1977-02-14,   4.800000,   0.568000,   0.806400,   0.000000,   0.806400,  -0.491787,  -0.491787,   0.000000,   9.872051, 300.000000,   0.000000
1977-02-15,   5.000000,   7.242000,   0.180000,   0.000000,   0.180000,   6.698162,   6.698162,   0.000000,  10.000000, 300.000000,   0.000000
1977-02-16,   1.900000,   2.982000,   0.692100,   0.000000,   0.692100,   2.208686,   2.208686,   0.000000,  10.000000, 300.000000,   0.000000
1977-02-17,   1.200000,   0.000000,   0.769500,   0.000000,   0.769500,  -0.769500,  -0.769500,   0.000000,   9.577689, 300.000000,   0.000000
1977-02-18,   4.300000,  10.366000,   0.179100,   0.000000,   0.179100,   9.686900,   9.686900,   0.000000,  10.000000, 300.000000,   0.000000
1977-02-19,   6.500000,   1.562000,   0.504000,   0.000000,   0.504000,   0.977192,   0.977192,   0.000000,  10.000000, 300.000000,   0.000000
1977-02-20,   5.500000,   1.562000,   0.541800,   0.000000,   0.541800,   0.792801,   0.792801,   0.000000,  10.000000, 300.000000,   0.000000
1977-02-21,   4.400000,   0.000000,   0.820800,   0.000000,   0.820800,  -0.820800,  -0.820800,   0.000000,   9.549535, 300.000000,   0.000000
1977-02-22,   3.500000,   3.834000,   0.630900,   0.000000,   0.630900,   2.703100,   2.703100,   0.000000,  10.000000, 300.000000,   0.000000
1977-02-23,   4.300000,   2.272000,   0.513000,   0.000000,   0.513000,   1.474345,   1.474345,   0.000000,  10.000000, 300.000000,   0.000000
1977-02-24,   4.400000,   1.136000,   0.891900,   0.000000,   0.891900,   0.012640,   0.012640,   0.000000,  10.000000, 300.000000,   0.000000
1977-02-25,   4.600000,   5.254000,   0.398700,   0.000000,   0.398700,   4.452885,   4.452885,   0.000000,  10.000000, 300.000000,   0.000000
