Date,       P,      Ep,       I,      Ea,    Dsum,      Db,     Dmp
1977,   669.7,   695.7,     0.0,   791.0,  -232.2,  -232.2,     0.0
1978,  1055.4,   666.8,     0.0,   777.7,   158.4,   158.4,     0.0
1979,   800.2,   650.3,     0.0,   744.0,   -59.8,   -59.8,     0.0
1980,   827.1,   715.2,     0.0,   787.1,   -66.9,   -66.9,     0.0
1981,  1004.0,   622.8,     0.0,   725.5,   148.0,   148.0,     0.0
1982,  1198.8,   675.8,     0.0,   762.2,   319.3,   319.3,     0.0
1983,   921.9,   694.0,     0.0,   770.0,    14.7,    14.7,     0.0
1984,   664.4,   619.7,     0.0,   675.4,  -106.2,  -106.2,     0.0
1985,   775.3,   697.1,     0.0,   787.0,  -128.3,  -128.3,     0.0
1986,  1149.8,   597.9,     0.0,   730.7,   272.5,   272.5,     0.0
1987,  1178.4,   688.8,     0.0,   808.0,   229.4,   229.4,     0.0
1988,   933.2,   636.5,     0.0,   744.9,    66.3,    66.3,     0.0
1989,   672.5,   695.6,     0.0,   791.0,  -229.2,  -229.2,     0.0
1990,   991.2,   672.0,     0.0,   785.5,    82.6,    82.6,     0.0
1991,   760.0,   650.3,     0.0,   751.1,  -113.8,  -113.8,     0.0
1992,   793.8,   715.2,     0.0,   790.4,  -108.7,  -108.7,     0.0
1993,  1008.4,   622.8,     0.0,   732.1,   133.9,   133.9,     0.0
1994,  1121.5,   675.6,     0.0,   767.4,   232.6,   232.6,     0.0
1995,   886.7,   694.0,     0.0,   775.4,   -42.1,   -42.1,     0.0
1996,   680.4,   619.7,     0.0,   678.8,  -101.4,  -101.4,     0.0
1997,   724.0,   697.1,     0.0,   794.1,  -189.1,  -189.1,     0.0
1998,  1089.6,   601.7,     0.0,   742.0,   190.1,   190.1,     0.0
1999,  1092.3,   681.1,     0.0,   807.0,   137.5,   137.5,     0.0
2000,   874.7,   629.4,     0.0,   742.4,    -1.1,    -1.1,     0.0
2001,   836.8,   622.7,     0.0,   748.8,   -95.1,   -95.1,     0.0
2002,  1098.1,   677.9,     0.0,   790.8,   207.9,   207.9,     0.0
2003,   690.9,   705.5,     0.0,   802.1,  -241.4,  -241.4,     0.0
2004,  1034.2,   660.3,     0.0,   796.7,    85.8,    85.8,     0.0
2005,   817.2,   678.1,     0.0,   778.8,  -122.5,  -122.5,     0.0
2006,   863.6,   708.8,     0.0,   796.2,   -48.9,   -48.9,     0.0
2007,  1150.6,   712.2,     0.0,   829.0,   176.2,   176.2,     0.0
2008,   953.8,   746.6,     0.0,   864.4,   -56.3,   -56.3,     0.0
2009,   844.6,   748.1,     0.0,   852.7,  -145.4,  -145.4,     0.0
2010,   826.9,   675.8,     0.0,   779.6,  -131.9,  -131.9,     0.0
2011,   956.3,   698.8,     0.0,   818.0,    27.8,    27.8,     0.0
2012,   931.5,   690.9,     0.0,   824.7,   -49.5,   -49.5,     0.0
2013,   835.0,   691.4,     0.0,   791.5,  -103.8,  -103.8,     0.0
2014,   984.3,   744.1,     0.0,   873.1,   -26.9,   -26.9,     0.0
2015,  1053.5,   692.4,     0.0,   813.3,   107.3,   107.3,     0.0
2016,   798.0,   710.0,     0.0,   835.2,  -177.0,  -177.0,     0.0
2017,   995.2,   675.2,     0.0,   811.5,    37.6,    37.6,     0.0
2018,   671.5,   779.8,     0.0,   840.0,  -279.4,  -279.4,     0.0
2019,   367.7,   366.8,     0.0,   406.1,   -96.5,   -96.5,     0.0
