Date,       P,      Ep,       I,      Ea,    Dsum,      Db,     Dmp,      Ve,      Vr,      Vb
1977,   669.7,   553.0,     0.0,   326.2,   343.1,   343.1,     0.0,  3059.7,  7876.7, 21506.5
1978,  1055.4,   514.3,     0.0,   420.8,   631.7,   631.7,     0.0,  3148.7,  8818.9, 23086.2
1979,   800.2,   514.2,     0.0,   396.4,   406.5,   406.5,     0.0,  2886.9,  8242.7, 21254.6
1980,   827.1,   558.4,     0.0,   273.5,   554.7,   554.7,     0.0,  2922.3,  7926.4, 22432.4
1981,  1004.0,   500.2,     0.0,   337.8,   663.0,   663.0,     0.0,  2966.5,  7245.6, 23654.2
1982,  1198.8,   530.4,     0.0,   357.2,   838.2,   838.2,     0.0,  3057.5,  7644.7, 23563.6
1983,   921.9,   544.2,     0.0,   386.7,   522.0,   522.0,     0.0,  2999.2,  8348.6, 22242.0
1984,   664.4,   492.0,     0.0,   346.5,   335.4,   335.4,     0.0,  2966.2,  7461.8, 23145.5
1985,   775.3,   542.6,     0.0,   391.6,   383.9,   383.9,     0.0,  2985.2,  8647.9, 21809.3
1986,  1149.8,   479.3,     0.0,   391.0,   760.5,   760.5,     0.0,  3303.7,  9364.1, 23398.7
1987,  1178.4,   536.7,     0.0,   435.6,   740.6,   740.6,     0.0,  3111.3,  8455.7, 23318.5
1988,   933.2,   504.8,     0.0,   353.3,   581.5,   581.5,     0.0,  3194.4,  7756.5, 23202.8
1989,   672.5,   553.0,     0.0,   326.1,   346.4,   346.4,     0.0,  3059.8,  7877.2, 21508.2
1990,   991.2,   521.0,     0.0,   420.4,   569.1,   569.1,     0.0,  3139.9,  8594.9, 22945.7
1991,   760.0,   514.2,     0.0,   386.7,   375.2,   375.2,     0.0,  2909.5,  8062.9, 21203.4
1992,   793.8,   558.4,     0.0,   273.3,   520.5,   520.5,     0.0,  2930.0,  7969.1, 22476.9
1993,  1008.4,   500.2,     0.0,   343.8,   660.9,   660.9,     0.0,  3022.2,  7370.0, 23647.7
1994,  1121.5,   530.4,     0.0,   361.2,   756.9,   756.9,     0.0,  3089.6,  7523.3, 23487.4
1995,   886.7,   544.2,     0.0,   383.0,   481.8,   481.8,     0.0,  3032.9,  8223.5, 22123.2
1996,   680.4,   492.0,     0.0,   350.0,   356.3,   356.3,     0.0,  2977.6,  7501.7, 22941.2
1997,   724.0,   542.6,     0.0,   391.2,   335.4,   335.4,     0.0,  3003.5,  8607.8, 21887.3
1998,  1089.6,   482.1,     0.0,   394.5,   695.7,   695.7,     0.0,  3336.0,  9098.7, 23357.3
1999,  1092.3,   530.9,     0.0,   436.8,   654.9,   654.9,     0.0,  3127.9,  8423.4, 23247.5
2000,   874.7,   500.0,     0.0,   357.4,   511.2,   511.2,     0.0,  3233.5,  7712.7, 23084.2
2001,   836.8,   500.3,     0.0,   373.6,   437.5,   437.5,     0.0,  3273.3,  7776.8, 24036.2
2002,  1098.1,   512.9,     0.0,   420.3,   708.7,   708.7,     0.0,  2862.3,  9836.2, 23398.9
2003,   690.9,   531.8,     0.0,   429.8,   261.4,   261.4,     0.0,  2823.4,  8608.9, 21993.8
2004,  1034.2,   512.2,     0.0,   412.0,   618.0,   618.0,     0.0,  3218.4,  8859.9, 23514.8
2005,   817.2,   530.5,     0.0,   398.8,   401.9,   401.9,     0.0,  2897.1,  8979.9, 23502.5
2006,   863.6,   550.1,     0.0,   355.7,   524.6,   524.6,     0.0,  3003.1,  8220.8, 23807.7
2007,  1150.6,   541.0,     0.0,   411.9,   743.1,   743.1,     0.0,  3012.5,  9607.8, 23095.4
2008,   953.8,   585.3,     0.0,   331.4,   623.9,   623.9,     0.0,  3104.6,  7552.6, 23131.8
2009,   844.6,   581.9,     0.0,   366.2,   471.9,   471.9,     0.0,  2962.4,  7110.1, 22858.1
2010,   826.9,   534.0,     0.0,   405.8,   387.1,   387.1,     0.0,  3236.4,  8238.0, 23447.4
2011,   956.3,   544.7,     0.0,   397.9,   597.7,   597.7,     0.0,  3045.6,  8366.3, 23458.1
2012,   931.5,   540.0,     0.0,   446.7,   484.4,   484.4,     0.0,  3127.4,  9101.2, 23050.9
2013,   835.0,   544.7,     0.0,   400.1,   435.6,   435.6,     0.0,  2898.4,  7776.8, 23124.4
2014,   984.3,   569.8,     0.0,   450.0,   534.3,   534.3,     0.0,  3226.0,  8992.5, 22834.0
2015,  1053.5,   548.9,     0.0,   416.5,   635.8,   635.8,     0.0,  3133.7,  8978.1, 23021.6
2016,   798.0,   542.4,     0.0,   424.8,   374.6,   374.6,     0.0,  3031.1,  9270.0, 22833.1
2017,   995.2,   531.0,     0.0,   419.3,   572.4,   572.4,     0.0,  3246.9,  8893.0, 23229.6
2018,   671.5,   599.6,     0.0,   298.0,   376.4,   376.4,     0.0,  3016.4,  7118.5, 22931.6
2019,   367.7,   329.3,     0.0,   217.1,   212.2,   212.2,     0.0,  1392.7,  3508.3, 10634.1
