      Date,          T,          P,         Ep,          I,         Ea,       Dsum,         Db,        Dmp
1977-01-01,   5.300000,   0.000000,   0.058200,   0.000000,   0.058200,   0.000000,   0.000000,   0.000000
1977-01-02,   2.100000,   0.000000,   0.055200,   0.000000,   0.055200,   0.000000,   0.000000,   0.000000
1977-01-03,   2.500000,   0.000000,   0.054000,   0.000000,   0.054000,   0.000000,   0.000000,   0.000000
1977-01-04,   3.500000,   0.846000,   0.039000,   0.000000,   0.039000,   0.001124,   0.001124,   0.000000
1977-01-05,   3.800000,   7.473000,   0.055800,   0.000000,   0.055800,   0.037762,   0.037762,   0.000000
1977-01-06,   1.700000,   1.269000,   0.067200,   0.000000,   0.067200,   0.263089,   0.263089,   0.000000
1977-01-07,   3.800000,   1.692000,   0.138600,   0.000000,   0.138600,   0.679358,   0.679358,   0.000000
1977-01-08,   6.500000,   0.846000,   0.055200,   0.000000,   0.055200,   1.101299,   1.101299,   0.000000
1977-01-09,   7.500000,   2.397000,   0.049800,   0.000000,   0.049800,   1.404112,   1.404112,   0.000000
1977-01-10,   5.700000,   1.269000,   0.122400,   0.000000,   0.122400,   1.581556,   1.581556,   0.000000
1977-01-11,   4.000000,   0.000000,   0.159600,   0.000000,   0.159600,   1.664355,   1.664355,   0.000000
1977-01-12,   4.500000,   2.679000,   0.047400,   0.000000,   0.047400,   1.646506,   1.646506,   0.000000
1977-01-13,   5.300000,   0.282000,   0.291000,   0.000000,   0.291000,   1.576063,   1.576063,   0.000000
1977-01-14,   5.600000,   4.653000,   0.059400,   0.000000,   0.059400,   1.499553,   1.499553,   0.000000
1977-01-15,   6.900000,   0.282000,   0.080400,   0.000000,   0.080400,   1.483026,   1.483026,   0.000000
1977-01-16,   7.600000,   0.987000,   0.076800,   0.000000,   0.076800,   1.526364,   1.526364,   0.000000
1977-01-17,   6.100000,   0.141000,   0.317400,   0.000000,   0.317400,   1.541836,   1.541836,   0.000000
1977-01-18,   5.800000,   0.000000,   0.073200,   0.000000,   0.073200,   1.476570,   1.476570,   0.000000
1977-01-19,   6.300000,   0.000000,   0.072000,   0.000000,   0.072000,   1.321073,   1.321073,   0.000000
1977-01-20,   4.200000,   0.000000,   0.079800,   0.000000,   0.079800,   1.106289,   1.106289,   0.000000
1977-01-21,   2.800000,   0.705000,   0.053400,   0.000000,   0.053400,   0.875075,   0.875075,   0.000000
1977-01-22,   4.400000,   0.141000,   0.294000,   0.000000,   0.294000,   0.673262,   0.673262,   0.000000
1977-01-23,   3.800000,   0.705000,   0.108600,   0.000000,   0.108600,   0.518426,   0.518426,   0.000000
1977-01-24,   5.800000,   0.141000,   0.063600,   0.000000,   0.063600,   0.410485,   0.410485,   0.000000
1977-01-25,   0.800000,   0.000000,   0.075600,   0.000000,   0.075600,   0.341668,   0.341668,   0.000000
1977-01-26,   0.800000,   0.000000,   0.111600,   0.000000,   0.111600,   0.289300,   0.289300,   0.000000
1977-01-27,   3.600000,   0.000000,   0.322200,   0.000000,   0.322200,   0.237501,   0.237501,   0.000000
1977-01-28,   4.700000,   1.410000,   0.165600,   0.000000,   0.165600,   0.186430,   0.186430,   0.000000
1977-01-29,   4.200000,   0.000000,   0.363600,   0.000000,   0.363600,   0.157077,   0.157077,   0.000000
1977-01-30,   6.000000,   0.000000,   0.105600,   0.000000,   0.105600,   0.150145,   0.150145,   0.000000
1977-01-31,   8.200000,   0.000000,   0.392400,   0.000000,   0.392400,   0.139539,   0.139539,   0.000000
1977-02-01,   5.200000,   0.000000,   0.096600,   0.000000,   0.096600,   0.119116,   0.119116,   0.000000
1977-02-02,   4.600000,   0.000000,   0.120000,   0.000000,   0.120000,   0.094215,   0.094215,   0.000000
1977-02-03,   5.300000,   0.000000,   0.088200,   0.000000,   0.088200,   0.070228,   0.070228,   0.000000
1977-02-04,   5.300000,  12.354000,   0.086400,   0.000000,   0.086400,   0.080682,   0.080682,   0.000000
1977-02-05,   6.000000,   1.136000,   0.341400,   0.000000,   0.341400,   0.356482,   0.356482,   0.000000
1977-02-06,   6.900000,   0.000000,   0.154200,   0.000000,   0.154200,   0.913560,   0.913560,   0.000000
1977-02-07,   8.500000,   0.000000,   0.151200,   0.000000,   0.151200,   1.423906,   1.423906,   0.000000
1977-02-08,   7.500000,   0.000000,   0.117600,   0.000000,   0.117600,   1.681695,   1.681695,   0.000000
1977-02-09,   3.700000,   0.000000,   0.114600,   0.000000,   0.114600,   1.675596,   1.675596,   0.000000
1977-02-10,   2.900000,   0.000000,   0.092400,   0.000000,   0.092400,   1.488559,   1.488559,   0.000000
1977-02-11,   4.000000,   4.118000,   0.261600,   0.000000,   0.261600,   1.227795,   1.227795,   0.000000
1977-02-12,   5.300000,   3.834000,   0.311400,   0.000000,   0.311400,   1.054387,   1.054387,   0.000000
1977-02-13,   3.700000,   4.118000,   0.374400,   0.000000,   0.374400,   1.088788,   1.088788,   0.000000
1977-02-14,   4.800000,   0.568000,   0.537600,   0.000000,   0.537600,   1.311305,   1.311305,   0.000000
1977-02-15,   5.000000,   7.242000,   0.120000,   0.000000,   0.120000,   1.584118,   1.584118,   0.000000
1977-02-16,   1.900000,   2.982000,   0.461400,   0.000000,   0.461400,   1.892666,   1.892666,   0.000000
1977-02-17,   1.200000,   0.000000,   0.513000,   0.000000,   0.513000,   2.238418,   2.238418,   0.000000
1977-02-18,   4.300000,  10.366000,   0.119400,   0.000000,   0.119400,   2.485605,   2.485605,   0.000000
1977-02-19,   6.500000,   1.562000,   0.336000,   0.000000,   0.336000,   2.730640,   2.730640,   0.000000
1977-02-20,   5.500000,   1.562000,   0.361200,   0.000000,   0.361200,   3.022330,   3.022330,   0.000000
1977-02-21,   4.400000,   0.000000,   0.547200,   0.000000,   0.547200,   3.187362,   3.187362,   0.000000
1977-02-22,   3.500000,   3.834000,   0.420600,   0.000000,   0.420600,   3.120547,   3.120547,   0.000000
1977-02-23,   4.300000,   2.272000,   0.342000,   0.000000,   0.342000,   2.903526,   2.903526,   0.000000
1977-02-24,   4.400000,   1.136000,   0.594600,   0.000000,   0.594600,   2.669277,   2.669277,   0.000000
1977-02-25,   4.600000,   5.254000,   0.265800,   0.000000,   0.265800,   2.447961,   2.447961,   0.000000
1977-02-26,   4.600000,   0.568000,   0.464400,   0.000000,   0.464400,   2.303069,   2.303069,   0.000000
1977-02-27,   3.600000,   0.994000,   0.165000,   0.000000,   0.165000,   2.225415,   2.225415,   0.000000
1977-02-28,   4.000000,   8.520000,   0.264600,   0.000000,   0.264600,   2.142812,   2.142812,   0.000000
1977-03-01,   3.100000,   8.775000,   0.167400,   0.000000,   0.167400,   2.199692,   2.199692,   0.000000
1977-03-02,   4.000000,   0.000000,   0.240600,   0.000000,   0.240600,   2.558743,   2.558743,   0.000000
1977-03-03,   3.700000,   1.080000,   0.307800,   0.000000,   0.307800,   3.012403,   3.012403,   0.000000
1977-03-04,   4.700000,   0.270000,   0.240600,   0.000000,   0.240600,   3.251952,   3.251952,   0.000000
1977-03-05,   5.500000,   0.000000,   0.243600,   0.000000,   0.243600,   3.183912,   3.183912,   0.000000
1977-03-06,   7.400000,   0.000000,   0.627000,   0.000000,   0.627000,   2.857254,   2.857254,   0.000000
1977-03-07,   7.400000,   1.620000,   0.617400,   0.000000,   0.617400,   2.374867,   2.374867,   0.000000
1977-03-08,   4.900000,   0.405000,   0.197400,   0.000000,   0.197400,   1.868558,   1.868558,   0.000000
1977-03-09,   5.000000,   1.485000,   0.264000,   0.000000,   0.264000,   1.435960,   1.435960,   0.000000
1977-03-10,   6.800000,   4.320000,   0.321600,   0.000000,   0.321600,   1.130100,   1.130100,   0.000000
1977-03-11,   8.400000,   0.000000,   0.811200,   0.000000,   0.811200,   1.014006,   1.014006,   0.000000
1977-03-12,   5.300000,   6.615000,   0.657600,   0.000000,   0.657600,   1.036963,   1.036963,   0.000000
1977-03-13,   6.000000,   2.970000,   0.249600,   0.000000,   0.249600,   1.185758,   1.185758,   0.000000
1977-03-14,   5.400000,   8.235000,   0.652800,   0.000000,   0.652800,   1.484114,   1.484114,   0.000000
1977-03-15,   4.500000,   7.155000,   0.223200,   0.000000,   0.223200,   1.948331,   1.948331,   0.000000
1977-03-16,   5.000000,   1.755000,   0.879000,   0.000000,   0.879000,   2.574395,   2.574395,   0.000000
1977-03-17,   3.800000,   0.000000,   0.969000,   0.000000,   0.969000,   3.143457,   3.143457,   0.000000
1977-03-18,   3.400000,   0.810000,   0.875400,   0.000000,   0.875400,   3.384520,   3.384520,   0.000000
1977-03-19,   4.900000,   2.700000,   0.243600,   0.000000,   0.243600,   3.246675,   3.246675,   0.000000
1977-03-20,   6.800000,   1.755000,   0.288000,   0.000000,   0.288000,   2.904053,   2.904053,   0.000000
1977-03-21,   3.100000,  10.125000,   0.358200,   0.000000,   0.358200,   2.564384,   2.564384,   0.000000
1977-03-22,   4.700000,  15.120000,   0.291600,   0.000000,   0.291600,   2.508994,   2.508994,   0.000000
1977-03-23,   4.400000,  17.550000,   0.697200,   0.000000,   0.697200,   3.057018,   3.057018,   0.000000
1977-03-24,   5.300000,  12.285000,   0.551400,   0.000000,   0.551400,   4.292731,   4.292731,   0.000000
1977-03-25,   6.300000,   1.755000,   0.965400,   0.000000,   0.965400,   5.890873,   5.890873,   0.000000
1977-03-26,   6.000000,   0.000000,   0.688800,   0.000000,   0.688800,   7.179089,   7.179089,   0.000000
1977-03-27,   8.400000,   0.000000,   1.243200,   0.000000,   1.243200,   7.638712,   7.638712,   0.000000
1977-03-28,  11.800000,   1.350000,   1.339800,   0.000000,   1.339800,   7.227261,   7.227261,   0.000000
1977-03-29,   6.800000,   0.000000,   1.209000,   0.000000,   1.209000,   6.229225,   6.229225,   0.000000
1977-03-30,   7.500000,   0.135000,   0.569400,   0.000000,   0.569400,   4.983671,   4.983671,   0.000000
1977-03-31,   9.600000,   0.000000,   1.068600,   0.000000,   1.068600,   3.754195,   3.754195,   0.000000
1977-04-01,   4.500000,   0.000000,   1.365600,   0.000000,   1.365600,   2.697766,   2.697766,   0.000000
1977-04-02,   1.100000,   0.248000,   0.959400,   0.000000,   0.959400,   1.868246,   1.868246,   0.000000
1977-04-03,   0.600000,   0.000000,   0.943800,   0.000000,   0.943800,   1.256285,   1.256285,   0.000000
1977-04-04,   1.700000,   0.000000,   0.801000,   0.000000,   0.233625,   0.817665,   0.817665,   0.000000
1977-04-05,   3.900000,   2.728000,   1.046400,   0.000000,   1.046400,   0.517491,   0.517491,   0.000000
1977-04-06,   4.900000,   1.860000,   0.340800,   0.000000,   0.340800,   0.324685,   0.324685,   0.000000
1977-04-07,   5.500000,   0.992000,   0.424800,   0.000000,   0.424800,   0.200809,   0.200809,   0.000000
1977-04-08,   7.000000,   0.248000,   1.010400,   0.000000,   1.010400,   0.122725,   0.122725,   0.000000
1977-04-09,   6.500000,   0.000000,   0.835200,   0.000000,   0.835200,   0.074254,   0.074254,   0.000000
1977-04-10,   6.200000,   6.076000,   0.411600,   0.000000,   0.411600,   0.046175,   0.046175,   0.000000
1977-04-11,  10.100000,   0.868000,   1.036200,   0.000000,   1.036200,   0.076264,   0.076264,   0.000000
1977-04-12,  10.600000,  13.020000,   0.576600,   0.000000,   0.576600,   0.224133,   0.224133,   0.000000
1977-04-13,  11.800000,   0.124000,   1.291800,   0.000000,   1.291800,   0.654108,   0.654108,   0.000000
1977-04-14,  12.400000,   0.000000,   1.659000,   0.000000,   1.659000,   1.272473,   1.272473,   0.000000
1977-04-15,   9.900000,   0.992000,   0.812400,   0.000000,   0.812400,   1.696312,   1.696312,   0.000000
1977-04-16,   8.300000,   0.000000,   0.802800,   0.000000,   0.802800,   1.789890,   1.789890,   0.000000
1977-04-17,   6.100000,   0.000000,   1.350600,   0.000000,   1.350600,   1.626982,   1.626982,   0.000000
1977-04-18,   4.600000,   1.364000,   1.004400,   0.000000,   1.004400,   1.333290,   1.333290,   0.000000
1977-04-19,   4.900000,   6.076000,   0.967200,   0.000000,   0.967200,   1.022077,   1.022077,   0.000000
1977-04-20,   6.100000,   0.496000,   0.705600,   0.000000,   0.705600,   0.825616,   0.825616,   0.000000
1977-04-21,   6.600000,   0.000000,   1.281600,   0.000000,   1.281600,   0.774390,   0.774390,   0.000000
1977-04-22,   5.800000,   0.000000,   1.765200,   0.000000,   1.765200,   0.736102,   0.736102,   0.000000
1977-04-23,   4.400000,   0.124000,   1.344000,   0.000000,   1.344000,   0.645319,   0.645319,   0.000000
1977-04-24,   3.800000,   1.116000,   1.086000,   0.000000,   1.086000,   0.521398,   0.521398,   0.000000
1977-04-25,   8.100000,  14.508000,   0.693000,   0.000000,   0.693000,   0.412903,   0.412903,   0.000000
1977-04-26,   5.000000,   6.696000,   0.657600,   0.000000,   0.657600,   0.559923,   0.559923,   0.000000
1977-04-27,   6.200000,   0.000000,   1.436400,   0.000000,   1.436400,   1.127395,   1.127395,   0.000000
1977-04-28,   6.000000,   0.000000,   1.680600,   0.000000,   1.680600,   1.772827,   1.772827,   0.000000
1977-04-29,   5.700000,   0.000000,   1.231200,   0.000000,   1.231200,   2.106849,   2.106849,   0.000000
1977-04-30,   6.200000,   0.000000,   1.723800,   0.000000,   1.723800,   2.052125,   2.052125,   0.000000
1977-05-01,   8.900000,   0.000000,   1.011000,   0.000000,   1.011000,   1.753524,   1.753524,   0.000000
1977-05-02,  11.200000,   0.000000,   0.976800,   0.000000,   0.976800,   1.373168,   1.373168,   0.000000
1977-05-03,  11.900000,   0.000000,   1.874400,   0.000000,   1.077780,   1.004696,   1.004696,   0.000000
1977-05-04,  12.700000,   0.000000,   2.290200,   0.000000,   0.343530,   0.664012,   0.664012,   0.000000
1977-05-05,  10.400000,   0.113000,   2.226000,   0.000000,   0.333900,   0.394221,   0.394221,   0.000000
1977-05-06,   9.500000,   0.000000,   2.371800,   0.000000,   0.355770,   0.199070,   0.199070,   0.000000
1977-05-07,   8.700000,   0.000000,   1.102800,   0.000000,   0.321650,   0.087016,   0.087016,   0.000000
1977-05-08,  11.800000,   0.000000,   1.900800,   0.000000,   0.285120,   0.022104,   0.022104,   0.000000
1977-05-09,  11.500000,   0.000000,   1.249800,   0.000000,   0.187470,   0.000000,   0.000000,   0.000000
1977-05-10,   7.800000,   0.000000,   1.957800,   0.000000,   0.293670,   0.000000,   0.000000,   0.000000
1977-05-11,   7.500000,   0.000000,   1.564800,   0.000000,   0.234720,   0.000000,   0.000000,   0.000000
1977-05-12,  10.400000,   7.910000,   0.894600,   0.000000,   0.894600,   0.000000,   0.000000,   0.000000
1977-05-13,   8.500000,   1.808000,   1.579200,   0.000000,   1.579200,   0.000000,   0.000000,   0.000000
1977-05-14,  10.700000,   0.000000,   2.311800,   0.000000,   2.311800,   0.000000,   0.000000,   0.000000
1977-05-15,  12.200000,   0.000000,   2.532600,   0.000000,   2.532600,   0.000000,   0.000000,   0.000000
1977-05-16,  14.400000,   0.000000,   2.440800,   0.000000,   2.095020,   0.000000,   0.000000,   0.000000
1977-05-17,  11.800000,   0.000000,   2.607600,   0.000000,   0.391140,   0.000000,   0.000000,   0.000000
1977-05-18,  11.300000,   0.000000,   2.604600,   0.000000,   0.390690,   0.000000,   0.000000,   0.000000
